fn,firstSentence,confidence
Indobit-A-NYT1980_501-904-153.txt, a Deputy Minister of Defense responsible for armaments,-1
Indobit-A-NYT1986_501-1000-272.txt, whose chubby appearance is said to have inspired the statues that welcome diners to Big Boy restaurants coast to coast,-1
Indobit-A-NYT1984_1-500-350.txt, a former bobsledder for the United States Olympic team,-1
Indobit-A-NYT1983 - Jan 1 - March 31-34.txt, a builder and real estate developer in the Caribbean,-1
Indobit-A-NYT1984_501-1000-118.txt, the record-setting winner of the 1949 Indianapolis 500 auto race,-1
Indobit-A-NYT1984_501-1000-255.txt, a Federal mediator who helped resolve labor disputes on the Long Island Rail Road for more than 10 years,-1
Indobit-A-NYT1983 - July 1 - Sep 30-128.txt,,-1
Indobit-A-NYT1983 - July 1 - Sep 30-346.txt, Connecticut's Commissioner of Correction,-1
Indobit-A-NYT1983 - April 1 - June 30-4.txt, the doorman at Henri Bendel's for more than 70 years,-1
Indobit-A-NYT1984_501-1000-277.txt," 46 years old, the unknowing subject of an Army LSD experiment who received $625,000 from Congress after filing a lawsuit",-1
Indobit-A-NYT1986_501-1000-315.txt, a police officer who made medical history by regaining consciousness after being in a coma for 22 months,-1
Indobit-A-NYT1983 - Oct 1 - Dec 31-127.txt, who invented the Popsicle on an extraordinarily cold night in San Francisco in 1905,-1
Indobit-A-NYT1983 - April 1 - June 30-55.txt, the northern Kentucky restaurateur who was the breeder of the champion race horse Seattle Slew,-1
Indobit-A-NYT1982_1501-1630-120.txt, a former member of the New York Council on the Arts,-1
Indobit-A-NYT1986_1001-1500-108.txt, an early aviator who was Air Minister in the Franco regime,-1
Indobit-A-NYT1980_1-500-478.txt, a Westchester County real estate man for nearly 20 years,-1
Indobit-A-NYT1981 - July 1 - Sep 30-122.txt, a Maryknoll missionary who spent 25 years in China,-1
Indobit-A-NYT1982_501-1000-242.txt,,-1
Indobit-A-NYT1985 - July 1 - Sep 30-173.txt, a one-time political ally and confidante of Representative Adam Clayton Powell,-1
Indobit-A-NYT1985 - July 1 - Sep 30-185.txt, who was a primary coordinator of research into acquired immune deficiency syndrome at the National Institutes of Health,-1
Indobit-A-NYT1987 - Jan 1 - March 31-138.txt, the wife of former State Senator Samuel L. Greenberg,-1
Indobit-A-NYT1986_1001-1500-61.txt, former Episcopal Bishop of Newark,-1
Indobit-A-NYT1981 - Oct 1 - Dec 31-366.txt, a ceramic muralist,-1
Indobit-A-NYT1986_1001-1500-466.txt, believed to be one of the first women in the United States to be a state trooper,-1
Indobit-A-NYT1982_501-1000-43.txt, a five-time Olympic gold medalist in the 1920's and the winner of 18 American championships in distance running,-1
Indobit-A-NYT1986_501-1000-485.txt, who won a gold medal in swimming at the 1976 Olympic Games,-1
Indobit-A-NYT1982_501-1000-458.txt, a former United States Representative from Connecticut's 3d Congressional District,-1
Indobit-A-NYT1985 - Oct 1 - Dec 31-63.txt, a former United States Representative who was once an ally of Huey P. Long but later joined his opponents,-1
Indobit-A-NYT1981 - April 1 - June 30-62.txt," who specialized in corporate, matrimonial and estate law",-1
Indobit-A-NYT1981 - Jan 1 - March 31-39.txt,,-1
Indobit-A-NYT1984_1-500-215.txt, who commanded the Antiaircraft Defense Corps of the Soviet Union for 12 years until his retirement in 1978,-1
Indobit-A-NYT1980_501-904-225.txt, who helped design and build the Chesapeake Bay Bridge and San Francisco-Oakland Bay Bridge as well as the Apollo moon complex at Cape Canaveral,-1
Indobit-A-NYT1984_501-1000-402.txt, an inventor credited with perfecting techniques to desalinate ocean water and cool railroad cars,-1
Indobit-A-NYT1984_1501-1563-21.txt," retired, who was decorated for leading his troops in the assault on Iwo Jimain World War II",-1
Indobit-A-NYT1983 - April 1 - June 30-336.txt, a former Republican Assemblyman from Columbia County,-1
Indobit-A-NYT1981 - July 1 - Sep 30-410.txt, a financial analyst with the Securities and Exchange Commission and the World Bank before retiring in 1975,-1
