fn,firstSentence,basedOn,code
Indobit-A-NYT1981 - April 1 - June 30-354.txt,"Peter J. Donoghue, a retired Family Court judge in Queens, died Thursday in North Shore University Hospital in Manhasset, L.I., after a stroke.",judge," 111
"
Indobit-A-NYT1984_501-1000-437.txt,"Arthur J. Bamford, retired regional director of Management Planning Inc. in Princeton, N.J., a securities evaluation concern, died of a heart attack July 30 at a hospital in Miami.",director," 150, 159
"
Indobit-A-NYT1986_501-1000-457.txt,"J. Richard Eimers, the former exec-utive director of the News Election Service, a cooperative that collects and distributes returns for Presidential, gubernatorial and Congressional elections, died Monday at Bayley Seton Hospital on Staten Island, after a brief illness.",director," 150, 159
"
Indobit-A-NYT1985 - Jan 1 - March 31-150.txt,"James Francis Wright, former executive director of the Delaware River Basin Commission, died of cardiac arrest Tuesday in Santa Rosa, Calif.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-28.txt,"William H. Reumann, who started radio station WWRL-AM in his living room in Woodside, Queens, in 1926 and went on to own three other stations as well, died Thursday at his home in Amityville, L.I.",radio,KZ-Forms of Music
Indobit-A-NYT1983 - Oct 1 - Dec 31-261.txt,"Leonard Wibberley, a journalist and author of more than 100 books, including the comic novel ''The Mouse That Roared,'' died of a heart attack Tuesday in Santa Monica, Calif.",journalist," 131–132
"
Indobit-A-NYT1984_1-500-59.txt,"Dr. Alfred Gilman, a leading pharmacologist, died of a heart attack yesterday at his home in New Haven.",pharmacologist," 041, 073
"
Indobit-A-NYT1981 - July 1 - Sep 30-191.txt,"Robert Lawrence, founder and musical director of the Friends of French Opera, died of a brain tumor at St. Luke's Hospital on Sunday.",director," 150, 159
"
Indobit-A-NYT1981 - July 1 - Sep 30-191.txt,"Robert Lawrence, founder and musical director of the Friends of French Opera, died of a brain tumor at St. Luke's Hospital on Sunday.",musical,KZ-Forms of Music
Indobit-A-NYT1983 - July 1 - Sep 30-124.txt,"Harvey S. Perloff, an adviser to President Kennedy on Latin America and the dean of the Graduate School of Architecture and Urban Planning at the University of California at Los Angeles since 1968, died today at the age of 68.",Latin,KZ-Genre
Indobit-A-NYT1981 - July 1 - Sep 30-403.txt,"Dr. James E. McCormack, director of the New York Academy of Medicine since 1967, died Tuesday of coronary illness in the Englewood (N.J.) Hospital.",director," 150, 159
"
Indobit-A-NYT1983 - April 1 - June 30-46.txt,"Lanfranco Rasponi, a writer on society and the performing arts and a publicity agent for many prominent opera singers, died Saturday at his home in Rio de Janeiro.",singers," 152
"
Indobit-A-NYT1983 - April 1 - June 30-46.txt,"Lanfranco Rasponi, a writer on society and the performing arts and a publicity agent for many prominent opera singers, died Saturday at his home in Rio de Janeiro.",singer," 152
"
Indobit-A-NYT1983 - April 1 - June 30-46.txt,"Lanfranco Rasponi, a writer on society and the performing arts and a publicity agent for many prominent opera singers, died Saturday at his home in Rio de Janeiro.",opera,KZ-Forms of Music
Indobit-A-NYT1985 - July 1 - Sep 30-143.txt,"Walter R. Vecchio, a freelance photographer whose work appeared in Life and Look magazines, died July 21 at his Manhattan apartment.",photographer," 143
"
