fn,firstSentence,basedOn,code
Indobit-A-NYT1986_1001-1500-66.txt,"Alicia Moreau de Justo, one of the leading Socialists and feminists of Latin America, died Monday.",Latin,KZ-Genre
Indobit-A-NYT1982_1-500-267.txt,"William Adam Schulz, a former regional director of the Federal Housing Administration in New York, died of a heart attack Sunday in Fort Lauderdale, Fla.",director," 150, 159
"
Indobit-A-NYT1984_1-500-57.txt,"Karl Herman William Baarslag, an author and former research director of a Senate subcommittee headed by Joseph R. McCarthy, died of a heart attack Tuesday at the Palm Beach Martin County Hospital.",director," 150, 159
"
Indobit-A-NYT1986_1-500-459.txt,"Frederick R. Livingston, a New York lawyer and labor arbitrator who was an adviser to eight Secretaries of Labor, died Monday at Mount Sinai Hospital.",lawyer," 110–111
"
Indobit-A-NYT1985 - Jan 1 - March 31-107.txt,"Sir Arthur Bryant, the British fighter pilot-turned-popular historian who wrote stirring chronicles of high points in his country's past, died after a brief illness late Tuesday at New Hall Hospital in Salisbury in southern England.",historian," 052
"
Indobit-A-NYT1983 - April 1 - June 30-104.txt,"Earl (Fatha) Hines, the father of modern jazz piano, died Friday in Oakland, Calif., after a heart attack.",jazz,KZ-Genre
Indobit-A-NYT1986_1-500-201.txt,"Clinton Wilder, a leading theatrical producer who helped develop new playwrights, died yesterday at his home in Bedford, N.Y., after a long illness.",producer," 159, 187, 962
"
Indobit-A-NYT1982_1-500-61.txt,"Sigurd F. Olson, nature writer and environmentalist, died of a heart attack Wednesday while snowshoeing near his home.",environmentalist," 029
"
Indobit-A-NYT1984_1001-1500-455.txt,"Jeanne Cagney Morrison, the actress and sister of actor James Cagney, died Friday at her home in Newport Beach, Calif.",actor," 150
"
Indobit-A-NYT1980_501-904-269.txt,"Dr. W. Virgil Nestrick, former director of teacher placement for the City University of New York and dean emeritus of Staten Island College, died in his home in Manhasset, L.I., on Thursday of a coronary arrest.",director," 150, 159
"
Indobit-A-NYT1985 - April 1 - June 30-66.txt,"Jasper F. Williams, a Chicago physician, businessman and aviation enthusiast, was killed Monday in the crash of a light plane he was piloting near the airport in Terre Haute, Ind.",physician," 070
"
Indobit-A-NYT1982_1-500-169.txt,"Charles D. LaFollette, a former vice president and a director emeritus of the Corning Glass Works, died Tuesday at the Corning (N.Y.) Hospital.",director," 150, 159
"
Indobit-A-NYT1982_1501-1630-109.txt,"Dr. William Hunter Stearns, a retired physician and teacher at Columbia University's College of Physicians and Surgeons, died Monday of cardiac arrest at St. Vincent's Hospital.",physician," 070
"
Indobit-A-NYT1986_1001-1500-301.txt,"Eddie Shu, a versatile jazz musician who played in Gene Krupa's orchestra in the 1950's and with Louis Armstrong's All Stars in the 1960's, died on July 4 in St. Petersburg, Fla. Mr. Shu, who had had cancer for several years, lived in Tampa, Fla.",musician," 152
"
Indobit-A-NYT1986_1001-1500-301.txt,"Eddie Shu, a versatile jazz musician who played in Gene Krupa's orchestra in the 1950's and with Louis Armstrong's All Stars in the 1960's, died on July 4 in St. Petersburg, Fla. Mr. Shu, who had had cancer for several years, lived in Tampa, Fla.",jazz,KZ-Genre
Indobit-A-NYT1986_1001-1500-301.txt,"Eddie Shu, a versatile jazz musician who played in Gene Krupa's orchestra in the 1950's and with Louis Armstrong's All Stars in the 1960's, died on July 4 in St. Petersburg, Fla. Mr. Shu, who had had cancer for several years, lived in Tampa, Fla.",Orchestra,KZ-Group
Indobit-A-NYT1981 - Oct 1 - Dec 31-306.txt,"Louis Weiner, former director of records and health of the New York City Department of Health, died yesterday in Englewood (N.J.) Hospital.",director," 150, 159
"
Indobit-A-NYT1985 - April 1 - June 30-285.txt,"Hu Feng, a celebrated writer and literary critic who championed artistic freedom in China in the 1950's only to be jailed and purged, has died of cancer, the New China News Agency reported today.",artist," 141, 144
"
Indobit-A-NYT1980_1-500-135.txt,"Anais K. Robinson, who had been a public-relations consultant for the 1964-65 New York World's Fair and a director of special events here and in Suffolk County, died Wednesday at John T. Mather Memorial Hospital in Port Jefferson, L.I.",director," 150, 159
"
Indobit-A-NYT1984_501-1000-401.txt,"Joel W. Solomon, a millionaire real estate developer who served as General Services Administration chief in the Carter Administration, died today of heart failure at his home after a lengthy illness.",real estate developer," 189
"
Indobit-A-NYT1986_501-1000-332.txt,"David Summers, an actor and cabaret singer who was active in the homosexual rights movement and in AIDS education, died as a result of acquired immune deficiency syndrome Saturday at his home in Manhattan.",singer," 152
"
Indobit-A-NYT1986_501-1000-332.txt,"David Summers, an actor and cabaret singer who was active in the homosexual rights movement and in AIDS education, died as a result of acquired immune deficiency syndrome Saturday at his home in Manhattan.",actor," 150
"
Indobit-A-NYT1981 - April 1 - June 30-83.txt,"Arnold Spector, theatrical producer and director who for 16 seasons was managing director of the Guy Lombardo productions at the Jones Beach Marine Theater, died Sunday at his home in Manhattan.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - April 1 - June 30-83.txt,"Arnold Spector, theatrical producer and director who for 16 seasons was managing director of the Guy Lombardo productions at the Jones Beach Marine Theater, died Sunday at his home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1982_1001-1500-176.txt,"A.L. Lloyd, the English folk singer and musicologist who collected songs from the Australian bush to Transylvania, died Wednesday at his London home, his family said today.",singer," 152
"
Indobit-A-NYT1982_1001-1500-176.txt,"A.L. Lloyd, the English folk singer and musicologist who collected songs from the Australian bush to Transylvania, died Wednesday at his London home, his family said today.",folk,KZ-Genre
Indobit-A-NYT1981 - July 1 - Sep 30-91.txt,"James L. Buffington, a French-horn player who performed with many of New York's chamber orchestras and also had a career in jazz and popular accompaniment, died yesterday of a stroke in Englewood, N.J.",jazz,KZ-Genre
Indobit-A-NYT1981 - July 1 - Sep 30-91.txt,"James L. Buffington, a French-horn player who performed with many of New York's chamber orchestras and also had a career in jazz and popular accompaniment, died yesterday of a stroke in Englewood, N.J.",popular,KZ-Genre
Indobit-A-NYT1986_501-1000-370.txt,"William Blair Meyer, a New York real estate developer and president of the Cord Meyer Company, died of cancer Saturday at the home of his daughter in Katonah, N.Y., where he was recuperating from a hospital stay.",real estate developer," 189
"
Indobit-A-NYT1986_501-1000-100.txt,"Ronald Bentley, a stage director on the staff of the New York City Opera, died Thursday at his home on the Upper West Side of Manhattan of cancer, according to his family.",director," 150, 159
"
Indobit-A-NYT1987 - April 1 - June 30-369.txt,"Samuel Y. Gibbon, a former investment banker and medical equipment manufacturer, died of a heart attack Monday while aboard the Royal Viking Sea on a trans-Atlantic voyage to Southampton, England.",investment banker," 020
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-96.txt,"Gertrude Macy, a Broadway theatrical producer who once headed the American National Theater and Academy's international cultural exchange service, died of cancer yesterday at the Columbia Presbyterian Medical Center.",producer," 159, 187, 962
"
Indobit-A-NYT1982_1001-1500-299.txt,"Townsend Martin, an investment banker, race-horse owner and breeder, and former part owner of the New York Jets football team, committed suicide last Friday at his home in North Castle, N.Y., in upper Westchester County.",investment banker," 020
"
Indobit-A-NYT1985 - April 1 - June 30-342.txt,"Dr. Frank Lorimer, a demographer and sociologist, died Sunday in Wakatane, New Zealand, where he was working on a philosophical treatise, ''The Challenge of the Global Crises.''",demographer," 020, 059
"
Indobit-A-NYT1985 - April 1 - June 30-342.txt,"Dr. Frank Lorimer, a demographer and sociologist, died Sunday in Wakatane, New Zealand, where he was working on a philosophical treatise, ''The Challenge of the Global Crises.''",sociologist," 054
"
Indobit-A-NYT1985 - Jan 1 - March 31-131.txt,"Leslie S. Bennetts, a documentary- film director, writer and producer, died of pneumonia Friday night at New Rochelle (N.Y.) Hospital.",producer," 159, 187, 962
"
Indobit-A-NYT1985 - Jan 1 - March 31-131.txt,"Leslie S. Bennetts, a documentary- film director, writer and producer, died of pneumonia Friday night at New Rochelle (N.Y.) Hospital.",director," 150, 159
"
Indobit-A-NYT1983 - Jan 1 - March 31-452.txt,"Bernard L. Whelan, one of the nation's first licensed airplane pilots who was taught to fly by the Wright brothers and became a vice president of the former United Aircraft Corporation, died Sunday at his winter home in Delray Beach, Fla.",airplane pilot," 196
"
Indobit-A-NYT1983 - Jan 1 - March 31-452.txt,"Bernard L. Whelan, one of the nation's first licensed airplane pilots who was taught to fly by the Wright brothers and became a vice president of the former United Aircraft Corporation, died Sunday at his winter home in Delray Beach, Fla.",airplane pilots," 196
"
Indobit-A-NYT1983 - July 1 - Sep 30-269.txt,"Jack Somack Is Dead at 64;Television and Movie Actor Jack Somack, a versatile film, stage and television actor, died of a heart attack Aug. 24 in Los Angeles while rehearsing a role in ''Benson,'' an ABC- TV situation comedy.",actor," 150
"
Indobit-A-NYT1984_501-1000-244.txt,"Dr. Felix Taubman, former director of medicine at St. John's Episcopal Hospital in Brooklyn, died Monday at the Brookdale Hospital Medical Center in Brooklyn.",director," 150, 159
"
Indobit-A-NYT1985 - April 1 - June 30-334.txt,"Henry Kallem, a New York artist and an abstract expressionist, died of an apparent heart attack Monday at his summer home in Monhegan Island, Me.",artist," 141, 144
"
Indobit-A-NYT1981 - April 1 - June 30-132.txt,"Louis Goebel, the animal trainer whose Jungleland lion compound here was a popular attraction from 1925 to 1969, died Monday at his home.",popular,KZ-Genre
Indobit-A-NYT1984_1-500-114.txt,"Dr. Jack S. Schiff, the provost of Pace University and a key figure in the school's transformation from a business-oriented college into a diversified multicampus university, died Monday at New Rochelle (N.Y.) Hospital Medical Center.",divers," 349, 899
"
Indobit-A-NYT1984_1-500-114.txt,"Dr. Jack S. Schiff, the provost of Pace University and a key figure in the school's transformation from a business-oriented college into a diversified multicampus university, died Monday at New Rochelle (N.Y.) Hospital Medical Center.",diver," 349, 899
"
Indobit-A-NYT1980_1-500-233.txt,"George F. Gaede, a dyeing and bleaching company executive and a director of the National Community Bank of New Jersey in Maywood, died Saturday at his home in Bay Head, N.J.",director," 150, 159
"
Indobit-A-NYT1987 - April 1 - June 30-351.txt,"Louis Menk, an architectural consultant and a former assistant dean of the New York University School of Architecture, died in his sleep Friday at his home in Southfield, Mich.",architect," 001
"
Indobit-A-NYT1985 - Jan 1 - March 31-84.txt,"William A. Sheehan, a leading admiralty lawyer who helped represent many plaintiffs in suits over the sinking of the Andrea Doria in 1956, died Monday at St. Vincent's Nursing Home in Montclair, N.J.",lawyer," 110–111
"
Indobit-A-NYT1983 - April 1 - June 30-124.txt,"Reuben Cohen, former director of the Veterans Administration Medical Center in East Orange, N.J., died of a heart attack yesterday at Riverside Hospital in Newport News, Va.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-17.txt,"Dr. G. Jarvis Coffin, a former medical director of St. Luke's Hospital, died Wednesday at his home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1986_1-500-263.txt,"William Henry Dollar, a leading ballet choreographer, dancer and teacher, died Friday at his home in Flourtown, Pa. Mr. Dollar, who had been suffering from lung cancer, was 78 years old.",choreographer," 962
"
Indobit-A-NYT1986_1-500-263.txt,"William Henry Dollar, a leading ballet choreographer, dancer and teacher, died Friday at his home in Flourtown, Pa. Mr. Dollar, who had been suffering from lung cancer, was 78 years old.",dancer," 151
"
Indobit-A-NYT1982_501-1000-358.txt,"Laurence H. Eldredge, a lawyer in Philadelphia for many years and a former professor at the University of Pennsylvania's law and medical schools, died Saturday at his home in San Francisco.",lawyer," 110–111
"
Indobit-A-NYT1985 - April 1 - June 30-199.txt,"Jackie Curtis, a playwright, director and performer, died of a drug overdose Wednesday, according to the New York City Medical Examiner's office.",director," 150, 159
"
Indobit-A-NYT1983 - Jan 1 - March 31-106.txt,"Eric Curwain, the British secret agent whose radio message from a Warsaw attic told Britain that the Nazi invasion of Poland had started, died Saturday.",radio,KZ-Forms of Music
Indobit-A-NYT1985 - April 1 - June 30-181.txt,"Frances Sanger Mossiker, a historian who wrote her first book at the age of 55 and became one of the few foreigners to be honored by the French for books about France, died Thursday at the Baylor Medical Center of a heart ailment.",historian," 052
"
Indobit-A-NYT1981 - Jan 1 - March 31-149.txt,"Josef Adler, a concert pianist and teacher who accompanied such artists as Mischa Elman, Rosa Ponselle, Lily Pons and Eugene Ysaye, in New York City and throughout the world, died Wednesday in Lenox Hill Hospital.",artist," 141, 144
"
Indobit-A-NYT1981 - Jan 1 - March 31-149.txt,"Josef Adler, a concert pianist and teacher who accompanied such artists as Mischa Elman, Rosa Ponselle, Lily Pons and Eugene Ysaye, in New York City and throughout the world, died Wednesday in Lenox Hill Hospital.",artists," 141, 144
"
Indobit-A-NYT1981 - Jan 1 - March 31-149.txt,"Josef Adler, a concert pianist and teacher who accompanied such artists as Mischa Elman, Rosa Ponselle, Lily Pons and Eugene Ysaye, in New York City and throughout the world, died Wednesday in Lenox Hill Hospital.",concert,KZ-Forms of Music
Indobit-A-NYT1980_1-500-383.txt,"Douglas Kenney, a founding editor of the National Lampoon magazine, who later became a film producer and screenwriter, died in a hiking accident while on vacation in Hawaii this week.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - July 1 - Sep 30-246.txt,"Reginald Kell, a concert clarinetist, died on Aug. 5 at his home in Frankfort, Ky., after a long illness.",concert,KZ-Forms of Music
Indobit-A-NYT1986_1001-1500-489.txt,"Thad Jones, a self-taught jazz trumpeter and cornetist whose syncopated, intricately harmonized arrangements became an ideal for a new generation of arrangers, died yesterday in Copenhagen after a four-month battle with cancer.",jazz,KZ-Genre
Indobit-A-NYT1987 - Jan 1 - March 31-286.txt,"Allan Jaffe, the owner and manager of the New Orleans jazz mecca Preservation Hall, died of cancer Monday at East Jefferson General Hospital in New Orleans.",jazz,KZ-Genre
Indobit-A-NYT1987 - April 1 - June 30-225.txt,"Wesley T. Hanson Jr., a retired vice president of the Eastman Kodak Company who helped usher in the modern era of amateur color photography, died, apparently of a heart attack, on Wednesday at Genesee Hospital in Rochester.",usher," 344
"
Indobit-A-NYT1984_1001-1500-453.txt,"Luther Adler, a stage and screen actor who starred in ''Fiddler on the Roof'' on Broadway, died yesterday at his home in Kutztown, Pa., after a long illness.",actor," 150
"
Indobit-A-NYT1984_1001-1500-120.txt,"Dr. Reidar Sognnaes, the dentist who identified the remains of Hitler and Martin Bormann, the Nazi Party secretary, from their teeth, died Friday of a heart attack.",dentist," 072
"
Indobit-A-NYT1983 - July 1 - Sep 30-366.txt,"J. Ward O'Neill, a New York admiralty lawyer, died at Greenwich (Conn.) Hospital yesterday as a result of injuries he suffered in an automobile accident last Jan. 2.",lawyer," 110–111
"
Indobit-A-NYT1982_501-1000-93.txt,"Dr. Dennis Slone, an epidemiologist who did research in identifying adverse reactions to drugs, died yesterday in Lexington, Mass., after a long illness.",epidemiologist," 041, 070, 073
"
Indobit-A-NYT1985 - April 1 - June 30-103.txt,"Yoichi R. Okamoto, who was the White House photographer for President Johnson, died early today at his home in Bethesda, Md.",photographer," 143
"
Indobit-A-NYT1982_501-1000-433.txt,"E. George Van Bibber, director emeritus of the University of Connecticut School of Physical Education, died of a heart attack Tuesday at the Windham (Conn.) Community Hospital after having been stricken at the Willimantic Country Club.",director," 150, 159
"
Indobit-A-NYT1982_501-1000-433.txt,"E. George Van Bibber, director emeritus of the University of Connecticut School of Physical Education, died of a heart attack Tuesday at the Windham (Conn.) Community Hospital after having been stricken at the Willimantic Country Club.",country,KZ-Genre
Indobit-A-NYT1982_1001-1500-447.txt,"Janet MacKay Cole, a former horse-show rider and judge, died Thursday in Boonton, N.J. She was 80 years old.",judge," 111
"
Indobit-A-NYT1986_1001-1500-162.txt,"Marvin J. Taylor, former associate director of the Association of Theological Schools in the United States and Canada, died of cancer May 29 at his home in Little Rock, Ark.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-15.txt,"Rock Hudson, the actor whose handsome looks and flair for comedy made him a romantic idol of the 1950's and 60's, died yesterday at his home in Los Angeles.",actor," 150
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-15.txt,"Rock Hudson, the actor whose handsome looks and flair for comedy made him a romantic idol of the 1950's and 60's, died yesterday at his home in Los Angeles.",romantic,KZ-Genre
Indobit-A-NYT1982_1001-1500-184.txt,"Charles Van Bergen, associate director of operations for CBS News, died of a stroke Friday while on vacation in East Hampton, L.I.",director," 150, 159
"
Indobit-A-NYT1980_501-904-29.txt,"David Rodnick, a cultural anthropologist who studied post-World War II German society for the United States Army, died on Oct. 9 at his home in Lubbock, Tex.",anthropologist," 055
"
Indobit-A-NYT1983 - April 1 - June 30-143.txt,"Federico Alessandrini, a Roman Catholic journalist who was a former director of the Vatican's press office and deputy director of the Vatican's newspaper, died yesterday at his home in Rome.",director," 150, 159
"
Indobit-A-NYT1983 - April 1 - June 30-143.txt,"Federico Alessandrini, a Roman Catholic journalist who was a former director of the Vatican's press office and deputy director of the Vatican's newspaper, died yesterday at his home in Rome.",journalist," 131–132
"
Indobit-A-NYT1983 - Jan 1 - March 31-1.txt,"Henry L. Lambert, one of New York's most respected jewelers for more than a half-century, died yesterday of heart failure at his Park Avenue home.",jewelers," 199, 700, 770
"
Indobit-A-NYT1983 - Jan 1 - March 31-1.txt,"Henry L. Lambert, one of New York's most respected jewelers for more than a half-century, died yesterday of heart failure at his Park Avenue home.",jeweler," 199, 700, 770
"
Indobit-A-NYT1983 - Jan 1 - March 31-280.txt,"Murray Seasongood, political reformer, former Mayor, lawyer, teacher, philanthropist and author, who left an indelible mark on Cincinnati, died at his home Monday at the age of 104.",lawyer," 110–111
"
Indobit-A-NYT1985 - Jan 1 - March 31-18.txt,"Samuel R. Milbank, an investment banker and philanthropist, died Thursday at his home in Princeton, N.J.",investment banker," 020
"
Indobit-A-NYT1986_1-500-329.txt,"Harold W. Arlin, the world's first full-time radio announcer, died Friday at his home in Bakersfield, Calif., after having suffered a heart attack on March 2.",announcer," 159
"
Indobit-A-NYT1986_1-500-329.txt,"Harold W. Arlin, the world's first full-time radio announcer, died Friday at his home in Bakersfield, Calif., after having suffered a heart attack on March 2.",radio,KZ-Forms of Music
Indobit-A-NYT1983 - July 1 - Sep 30-87.txt,"Clyde J. Harris, former vice president and director of catering and entertainment at the Waldorf-Astoria Hotel, died last Sunday in Boca Raton, Fla.",director," 150, 159
"
Indobit-A-NYT1986_501-1000-315.txt,"David Mack, a police officer who made medical history by regaining consciousness after being in a coma for 22 months, has died after being hospitalized with a fever.",police officer," 375, 377
"
Indobit-A-NYT1982_1001-1500-274.txt,"Carlos Garcia-Mata, a mathematician and the commercial attache in the Argentine Embassy in Washington before Juan Peron gained power, died of a stroke Tuesday at his home in New Canaan, Conn.",mathematician," 020
"
Indobit-A-NYT1985 - Jan 1 - March 31-353.txt,"Constance Ernst Bessie, the editor of the letters column in Newsweek magazine and for many years a producer and director in radio, television and on the stage, died of cancer Tuesday at the New York Infirmary-Beekman Downtown Hospital.",producer," 159, 187, 962
"
Indobit-A-NYT1985 - Jan 1 - March 31-353.txt,"Constance Ernst Bessie, the editor of the letters column in Newsweek magazine and for many years a producer and director in radio, television and on the stage, died of cancer Tuesday at the New York Infirmary-Beekman Downtown Hospital.",director," 150, 159
"
Indobit-A-NYT1984_501-1000-498.txt,"Arthur Sim Myers, a recording executive, music critic and freelance writer, died of a heart ailment yesterday in Los Angeles.",recording,KZ-Forms of Music
Indobit-A-NYT1986_1-500-204.txt,"Joseph Duell, a principal dancer with the New York City Ballet who had also choreographed for the company, died yesterday after a fall from the fifth floor of his apartment building in Manhattan.",dancer," 151
"
Indobit-A-NYT1984_1501-1563-5.txt,"Dr. Richard P. Giliberty, an orthopedic surgeon and the inventor in the 1970's of the bipolar prosthesis, an artificial hip joint widely used in operations, died of a stroke Saturday at St. Francis Hospital in Roslyn, L.I.",surgeon," 070
"
Indobit-A-NYT1987 - Jan 1 - March 31-338.txt,"Dr. Randolph B. Smith, an educator and former director of the Little Red School House, a private school in Greenwich Village, died Sunday at Rutland (Vt.) Hospital.",director," 150, 159
"
Indobit-A-NYT1983 - Jan 1 - March 31-450.txt,"Alfred Andriola, the cartoonist who originated the ''Kerry Drake'' comic strip, died of cancer yesterday at Lenox Hill Hospital.",cartoonist," 141
"
Indobit-A-NYT1981 - April 1 - June 30-190.txt,"Dr. Eugene J. Sheffer, professor emeritus of French and longtime director of the Maison Fran,caise at Columbia University, died yesterday at his West Side home.",director," 150, 159
"
Indobit-A-NYT1984_1501-1563-27.txt,"Peter Lawford, the debonair British movie actor whose youthful charm brightened ''Good News,'' ''Easter Parade,'' ''The White Cliffs of Dover'' and others of his more than 30 films, died yesterday.",actor," 150
"
Indobit-A-NYT1985 - July 1 - Sep 30-379.txt,"Joe Masiell, the singer and actor who attained prominence in the musical ''Jacques Brel is Alive and Well and Living in Paris,'' died of bone cancer Friday at St. Vincent's Hospital.",singer," 152
"
Indobit-A-NYT1985 - July 1 - Sep 30-379.txt,"Joe Masiell, the singer and actor who attained prominence in the musical ''Jacques Brel is Alive and Well and Living in Paris,'' died of bone cancer Friday at St. Vincent's Hospital.",actor," 150
"
Indobit-A-NYT1985 - July 1 - Sep 30-379.txt,"Joe Masiell, the singer and actor who attained prominence in the musical ''Jacques Brel is Alive and Well and Living in Paris,'' died of bone cancer Friday at St. Vincent's Hospital.",musical,KZ-Forms of Music
Indobit-A-NYT1980_1-500-239.txt,"Charles W. Thurston, professor of architecture and engineering at Columbia University for 33 years, died July 24 following a heart attack while vacationing in Paris.",architect," 001
"
Indobit-A-NYT1982_501-1000-308.txt,"LEESBURG, Va. Paul R. Boucher, the inspector general of the Small Business Administration, was fatally injured Sunday when he was struck by a remote control model airplane.",model," 297, 961
"
Indobit-A-NYT1987 - April 1 - June 30-153.txt,"Paul Butterfield, the harmonica player who led the Butterfield Blues Band, was found dead Monday at his apartment in Los Angeles.",harmonica,KZ-Instrument
Indobit-A-NYT1981 - July 1 - Sep 30-73.txt,"Arthur M. Bartley, co-founder and former executive director of Ducks Unlimited, the nonprofit conservation organization, died Tuesday at his home in Blue Point, L.I.",director," 150, 159
"
Indobit-A-NYT1981 - April 1 - June 30-345.txt,"Hayden Walling, an architect and builder known for the homes he designed on Cape Cod, died Sunday at his summer home in Wellfleet, Mass.",architect," 001
"
Indobit-A-NYT1985 - Jan 1 - March 31-54.txt,"Robert Sagalyn, a producer of Off Broadway plays in the 1950's, died Wednesday, apparently of a heart attack, at Baystate Medical Center in Springfield, Mass.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - Jan 1 - March 31-448.txt,"Chyn-Duog Shiah, a chemical engineer who was chairman of the Summit Industrial Corporation and the Oceanic Petroleum Corporation, refinery and marketing companies based in Hamilton, Bermuda, died Friday at his home in Manhattan.",chemical engineer," 008
"
Indobit-A-NYT1984_501-1000-42.txt,"William Platt Is Dead; M William Platt, a New York architect, died Monday at his home in Manhattan.",architect," 001
"
Indobit-A-NYT1985 - April 1 - June 30-83.txt,"Richard B. Oliver, an architect, teacher and author, died Friday at his home after a long illness.",architect," 001
"
Indobit-A-NYT1984_501-1000-67.txt,"Cesare Sabelli, a pilot in the 1920's and 1930's who sent the first radio transmission from an aircraft, died of a respiratory illness Monday at the White Plains Hospital Medical Center.",radio,KZ-Forms of Music
Indobit-A-NYT1983 - Jan 1 - March 31-121.txt,"Don Costa, the musician who discovered the singer Paul Anka and conducted and arranged hit albums for Frank Sinatra and dozens of other top stars, died here Wednesday night.",musician," 152
"
Indobit-A-NYT1983 - Jan 1 - March 31-121.txt,"Don Costa, the musician who discovered the singer Paul Anka and conducted and arranged hit albums for Frank Sinatra and dozens of other top stars, died here Wednesday night.",singer," 152
"
Indobit-A-NYT1983 - July 1 - Sep 30-276.txt,"J. J. Black, an architect who built more than 200 homes in Midland, Tex., and designed many other buildings, including several in New York, died yesterday of lung cancer at his home in Houston.",architect," 001
"
Indobit-A-NYT1981 - July 1 - Sep 30-390.txt,"Helen M. Clark, a lawyer and former president of the New York City Federation of Women's Clubs, died Saturday at New York Hospital.",lawyer," 110–111
"
Indobit-A-NYT1986_1-500-228.txt,"Fred P. Pomerantz, founder and former chairman of Leslie Fay Inc., a leading New York producer of women's apparel, died of a heart attack Wednesday at Good Samaritan Hospital in West Palm Beach, Fla.",producer," 159, 187, 962
"
Indobit-A-NYT1987 - April 1 - June 30-47.txt,"Enrico Caruso Jr., an actor, singer and the last surviving son of the great tenor, died after suffering a heart attack Thursday at his home in Jacksonville, Fla.",singer," 152
"
Indobit-A-NYT1987 - April 1 - June 30-47.txt,"Enrico Caruso Jr., an actor, singer and the last surviving son of the great tenor, died after suffering a heart attack Thursday at his home in Jacksonville, Fla.",actor," 150
"
Indobit-A-NYT1985 - July 1 - Sep 30-377.txt,"Cootie Williams, the Duke Ellington Orchestra trumpet player whose internationally recognized signature was the growling, muted horn, died of a kidney ailment yesterday in Long Island Jewish Hospital.",trumpet,KZ-Instrument
Indobit-A-NYT1985 - July 1 - Sep 30-377.txt,"Cootie Williams, the Duke Ellington Orchestra trumpet player whose internationally recognized signature was the growling, muted horn, died of a kidney ailment yesterday in Long Island Jewish Hospital.",Orchestra,KZ-Group
Indobit-A-NYT1982_1-500-239.txt,"Thelonious Monk, the pianist and composer whose wry, angular melodies and unusual harmonic progressions are among the most striking contributions to the jazz repertory, died yesterday in Englewood Hospital in New Jersey at the age of 64.",composer," 152
"
Indobit-A-NYT1982_1-500-239.txt,"Thelonious Monk, the pianist and composer whose wry, angular melodies and unusual harmonic progressions are among the most striking contributions to the jazz repertory, died yesterday in Englewood Hospital in New Jersey at the age of 64.",jazz,KZ-Genre
Indobit-A-NYT1981 - July 1 - Sep 30-54.txt,"James R. Connell, a former vice president and director of the Flintkote Company, a producer of building materials, died Friday at his summer home in Madison, Conn. Mr. Connell, who was also a resident of Manhattan, was 81 years old.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - July 1 - Sep 30-54.txt,"James R. Connell, a former vice president and director of the Flintkote Company, a producer of building materials, died Friday at his summer home in Madison, Conn. Mr. Connell, who was also a resident of Manhattan, was 81 years old.",director," 150, 159
"
Indobit-A-NYT1982_1001-1500-412.txt,"William P. McGivern, the mystery writer who saw many of his most popular novels adapted for the screen, died Thursday at his home in Palm Desert, Calif. Mr. McGivern, who was 60 years old, had been suffering from cancer.",popular,KZ-Genre
Indobit-A-NYT1986_1001-1500-396.txt,"Marion Hepburn Grant, a Connecticut historian and a sister of the actress Katharine Hepburn, died Friday at her seaside home here, apparently of a heart attack.",historian," 052
"
Indobit-A-NYT1985 - April 1 - June 30-120.txt,"Sidney B. Lurie, a financial analyst and executive vice president of Josephthal & Company, died of cancer last Wednesday at his home in Sands Point, L.I.",financial analyst," 020
"
Indobit-A-NYT1987 - Jan 1 - March 31-259.txt,"Bertrand de Jouvenel, a political economist and pioneer in economic forecasting, died Sunday, his family announced.",economist," 050
"
Indobit-A-NYT1982_501-1000-410.txt,"Harold T. Sakata, an actor best known for his sinister characterization of the killer bodyguard Oddjob in the James Bond movie ''Goldfinger,'' died Thursday.",actor," 150
"
Indobit-A-NYT1982_1001-1500-132.txt,"Samuel L.M. Barlow, a composer, writer and liberal activist of the 30's and 40's, died Sunday at the Springfield Retirement Residence in Wyndmoor, Pa.",composer," 152
"
Indobit-A-NYT1986_1001-1500-469.txt,"Caterina Jarboro, a soprano who made her United States debut in Verdi's ''Aida'' in 1933, a black woman taking the lead role in an all-white company, died Wednesday at her home in Manhattan after a brief illness.",soprano,KZ-Instrument
Indobit-A-NYT1983 - Oct 1 - Dec 31-121.txt,"Irene Buckley Knudsen, former executive director of Cancer Care and the National Cancer Foundation, died Saturday in Danbury (Conn.) Hospital.",director," 150, 159
"
Indobit-A-NYT1982_501-1000-447.txt,"Samuel M. Kootz, an art dealer and early champion of the Abstract Expressionist school that brought international fame to American painting, died of cancer Saturday at Doctors Hospital in Manhattan.",expressionist,KZ-Genre
Indobit-A-NYT1987 - April 1 - June 30-358.txt,"Eugene L. Futterman, an architect and teacher noted for a wide range of houses in the Hamptons, died of liver cancer Monday in Southampton (L.I.)",architect," 001
"
