fn,firstSentence,confidence,codes
Indobit-A-NYT1986_1-500-75.txt, a business executive,2.271019202363368,isco08-12,isco08-1120,isco08-11
Indobit-A-NYT1984_1001-1500-168.txt," the former chairman and chief executive of the Drackett Company, a major manufacturer of household goods",2.8176061776061774,isco08-1120,isco08-11,isco08-1
Indobit-A-NYT1980_1-500-461.txt, who earned baseball fame by pitching a perfect game as a reliever in 1917,1.2049571522742255,isco08-3421,isco08-3422,naics-71
Indobit-A-NYT1981 - July 1 - Sep 30-200.txt, vice president for development at Tougaloo College in Mississippi and pastor emeritus of the Broadway Church of Christ in New York City,2.0294050590470514,isco08-1120,isco08-2636,occ2000-001
Indobit-A-NYT1981 - Oct 1 - Dec 31-16.txt," retired editor and publisher of Croton-Cortlandt News in Croton-on-Hudson, N.Y.",2.580549898167006,isco08-2642,isco08-2641,isco08-264
Indobit-A-NYT1982_1501-1630-97.txt, a publisher and broadcasting executive,11.3375,isco08-1120,isco08-11,isco08-112
Indobit-A-NYT1982_1001-1500-120.txt, who retired from The New York Times in 1980 after more than 40 years as an editor in the sports department,1.2769982856826851,isco08-2642,isco08-2641,occ2000-283
Indobit-A-NYT1981 - April 1 - June 30-248.txt, a United Nations official who was a former Minister of Industry and Commerce in his native Peru,2.0752702702702703,occ2000-023,occ2000-043,occ2000-206
Indobit-A-NYT1981 - April 1 - June 30-439.txt, chief of the drug metabolism section of the Walter Reed Army Institute and an authority on drugs to prevent malaria,5.067326007326007,isco08-2655,isco08-1,isco08-1112
Indobit-A-NYT1981 - July 1 - Sep 30-30.txt, a social historian and editor who frequently wrote about houses and architecture,2.474913919736765,isco08-2633,isco08-2642,isco08-2641
Indobit-A-NYT1987 - Jan 1 - March 31-243.txt, the first Administrator of the General Services Administration and former chairman and president of the Air Force Association,5.145751072961374,isco08-2611,isco08-1120,isco08-11
Indobit-A-NYT1983 - Jan 1 - March 31-215.txt, a financial-management consultant,5.207027027027027,isco08-1120,isco08-112,isco08-241
Indobit-A-NYT1981 - April 1 - June 30-61.txt, former president and chairman of the board of the Belgian Line,4.487925039347022,isco08-1120,isco08-11,isco08-112
Indobit-A-NYT1984_1001-1500-18.txt,,0.15837953091684434,isco08-2641,occ2000-374,occ2000-385
Indobit-A-NYT1980_501-904-218.txt, a New York City corporate and tax lawyer and longtime member of the Army Reserve,1.6177858293075684,isco08-2611,110–111,occ2000-210
Indobit-A-NYT1985 - Jan 1 - March 31-178.txt, a Hebraic and Arabic scholar and an authority on Islamic civilization,10.007001166861144,isco08-1120,150,isco08-1
Indobit-A-NYT1981 - July 1 - Sep 30-301.txt, who brought life to the comic strip ''Freckles and His Friends'' and wrote material for Groucho Marx and other entertainers,0.6368380007089685,naics-71,occ2000-276,naics-51
Indobit-A-NYT1981 - July 1 - Sep 30-134.txt, who was responsible for protecting participants in the development and testing of the first atomic bomb from radiation hazards,0.009015777610818934,occ2000-205,occ2000-001,occ2000-204
Indobit-A-NYT1986_501-1000-343.txt," a writer for radio and television, editor and film maker",4.609587628865979,isco08-2641,isco08-2654,isco08-2642
Indobit-A-NYT1984_501-1000-389.txt," described in the country singer's autobiography as ''the one I feel most sentimental about,'' drowned trying to ford the Duck River on horseback",0.5474917335852623,152,isco08-2652,KZ-Music
Indobit-A-NYT1983 - Oct 1 - Dec 31-304.txt," manager of staff and labor relations for Reuters North America, whose headquarters are in Manhattan",5.008797653958944,occ2000-931,occ2000-202,occ2000-385
Indobit-A-NYT1983 - Oct 1 - Dec 31-173.txt, professor of social work in the Graduate School of Social Service at Fordham University,1.5786013986013985,isco08-2310,isco08-231,isco08-1120
Indobit-A-NYT1982_1001-1500-67.txt, the character actor who was a veteran of hundreds of movies and television roles,2.6374369461486027,isco08-2655,isco08-2654,naics-71
Indobit-A-NYT1981 - Oct 1 - Dec 31-29.txt, a retired real-estate investment banker,1.136949152542373,isco08-241,occ2000-482,020
