word,code(s)
commandant,occ2000-023
commander,isco08-11
commentator,occ2000-281
commercial,naics-51
commercial agent,occ2000-541
commercial announcer,occ2000-280
commercial artist,"017, 141, 970, occ2000-260"
commercial artists,"017, 141, 970"
commercial attache,occ2000-043
commercial baking teacher,occ2000-220
commercial census taker,occ2000-531
commercial correspondent,occ2000-521
commercial designer,occ2000-263
commercial diver,occ2000-752
commercial drafter,occ2000-154
commercial engineer,occ2000-153
commercial equipment sales,occ2000-485
commercial fisherman,occ2000-610
commercial or institutional cleaner,occ2000-422
commercial photographer,occ2000-291
commercial reporter,occ2000-593
commercial representative,occ2000-484
commercial retoucher,occ2000-260
commercial specialist,occ2000-071
commercial teller,occ2000-516
commercial trailer truck driver,occ2000-913
commercial writer,occ2000-285
commissary agent,occ2000-500
commissary manager,occ2000-470
commissary officer,occ2000-470
commissary steward,occ2000-470
commission broker,occ2000-485
commission clerk,occ2000-514
commissioner,isco08-1120
commissioner of internal revenue,occ2000-001
"commissioner--see ""official""",occ2000-
"committeeman--see ""committeeperson""",occ2000-
committeeperson,"occ2000-462, occ2000-202, occ2000-013"
"committeewoman--see ""committeeperson""",occ2000-
commodities sales,occ2000-482
commodity analyst,occ2000-084
commodity loan clerk,occ2000-512
"common laborer--see ""laborer""",occ2000-
commonwealth attorney,occ2000-210
communication center coordinator,occ2000-500
communication center operator,occ2000-501
communication equipment and services sales,occ2000-485
communication officer,occ2000-385
communications consultant,"occ2000-111, occ2000-484"
communications electrician supervisor,occ2000-700
communications engineer,occ2000-141
communications equipment installer,occ2000-702
communications equipment operator,occ2000-503
communications manager,occ2000-043
communications operator,occ2000-904
communications teacher,occ2000-220
communications technician,"occ2000-290, occ2000-702"
communicator,occ2000-904
community aide,occ2000-202
community antenna television line technician,occ2000-702
community association manager,occ2000-041
community center director,occ2000-042
community center worker,occ2000-202
community chest officer,occ2000-202
community coordinator,occ2000-202
community development aide,occ2000-202
community development worker,occ2000-202
community health nurse,occ2000-313
community mental health worker,occ2000-201
community organization aide,occ2000-202
community organization worker,occ2000-202
community organizer,occ2000-202
community relations police lieutenant,occ2000-371
community service patrol officer,occ2000-385
community service worker,occ2000-202
community youth secretary,"occ2000-570, occ2000-570"
commutator assembler,occ2000-772
commutator operator,occ2000-896
compacting machine operator/tender,occ2000-872
compagnie maritime belge,naics-48
companion,"309, occ2000-461"
companions,309
company,"naics-54, naics-31"
company driller,occ2000-682
company laborer,occ2000-694
company miner ,occ2000-682
company policies teacher,occ2000-062
comparator operator,occ2000-874
comparison shopper,"296, occ2000-496"
comparison shoppers,296
compass operator,occ2000-156
compensation adjuster,"occ2000-054, occ2000-524"
compensation agent,"occ2000-481, occ2000-524"
compensation expert,occ2000-062
compensation manager,occ2000-013
compensation specialist,"166, occ2000-062"
compensation specialists,166
compensator,occ2000-871
compensator worker,occ2000-836
competitive shopper,occ2000-496
compilation clerk,occ2000-592
compiler,occ2000-592
complaint adjuster,occ2000-524
complaint clerk,occ2000-524
complaint evaluation officer,occ2000-385
complaint inspector,occ2000-762
complaint operator,occ2000-501
compliance officer,"occ2000-666, occ2000-056"
compliance representative dealer,occ2000-056
component assembler supervisor,occ2000-770
composer,"152, isco08-2652, isco08-2652"
composer ,occ2000-825
composers,152
composing machine operator/tender,occ2000-825
composing room machinist,occ2000-733
composing room supervisor,occ2000-770
composite technician,701
composite technicians,701
composition floor layer,occ2000-624
composition floor setter,occ2000-624
composition mixer,occ2000-865
composition molder,occ2000-892
composition roofer,occ2000-651
composition siding worker,occ2000-623
composition stone applicator,occ2000-622
composition teacher,occ2000-220
composition tile layer,occ2000-624
composition weatherboard installer,occ2000-640
composition worker,occ2000-865
compositor,occ2000-825
compositor apprentice,occ2000-825
compotype operator,occ2000-590
compound coating machine offbearer,occ2000-963
compound filler,occ2000-963
compound finisher,occ2000-865
compound mixer,"occ2000-784, occ2000-865"
compound worker,occ2000-896
compounder,occ2000-865
compounder ,"occ2000-784, occ2000-784"
compounder helper,occ2000-895
compounding and finishing supervisor,occ2000-770
compress engineer,occ2000-896
compress machine operator,occ2000-872
compressed gas tester,occ2000-874
compression molding machine operator,occ2000-810
compression molding machine setter,occ2000-810
compressor assembler,occ2000-773
compressor engineer,occ2000-965
compressor mechanic,occ2000-722
compressor operator,occ2000-861
comptometer operator,occ2000-511
comptometrist,occ2000-511
comptroller,occ2000-012
compugraph operator,occ2000-581
computer \ n.e.c. or n.s. engineer,occ2000-140
computer aide,"occ2000-581, occ2000-254"
computer analyst,occ2000-100
computer analyst supervisor,occ2000-100
computer and computer hardware sales,"occ2000-485, occ2000-476"
computer applications developer,occ2000-102
computer applications engineer,occ2000-102
computer artist,"141, occ2000-260"
computer artists,141
computer assembler,occ2000-772
computer assistant,occ2000-254
computer bookkeeper,occ2000-512
computer clerk,occ2000-581
computer compositor,occ2000-583
computer console operator,occ2000-580
computer consultant,"018, 020"
computer consultant \ n.e.c. or n.s.,occ2000-100
computer consultants,"018, 020"
computer database manager,185
computer database managers,185
computer designer,occ2000-140
computer drafter,occ2000-154
computer equipment installer,occ2000-701
computer equipment repairer,occ2000-701
computer graphics illustrator,occ2000-260
computer hardware engineer,occ2000-140
computer health systems analyst,occ2000-100
computer installer,occ2000-701
computer instructor ,occ2000-104
computer integration,occ2000-111
computer layout,occ2000-140
computer mechanic,occ2000-701
computer meteorologist,occ2000-171
computer methods analyst,occ2000-100
computer network technician,033
computer network technicians,033
computer operations manager,occ2000-011
computer operations supervisor,occ2000-500
computer operator,213
computer operator \ any not listed,occ2000-580
computer operators,213
computer or computer laboratory technician,occ2000-100
computer or console operator i.b.m. operator,occ2000-580
computer peripheral equipment operator,occ2000-580
computer programmer,"020, occ2000-101, occ2000-101"
computer programmer aide,occ2000-101
computer programmer analyst,occ2000-102
computer programmers,020
computer programming manager,occ2000-011
computer programming supervisor,occ2000-101
computer prospecting,occ2000-193
computer repair engineer,occ2000-701
computer research,occ2000-100
computer science computer instructor,occ2000-220
computer science teacher,"occ2000-232, occ2000-220, occ2000-234"
computer scientist,occ2000-100
computer security engineer,033
computer security engineers,033
computer security information specialist,occ2000-110
computer security specialist,occ2000-110
computer server,occ2000-110
computer servicer,633
computer servicers,633
computer services technician,occ2000-701
computer software \ n.e.c. engineer,occ2000-102
computer software applications engineer,occ2000-102
computer software documentation writer,020
computer software documentation writers,020
computer software sales,"occ2000-485, occ2000-476"
computer software systems engineer,occ2000-102
computer software technician,occ2000-101
computer support,occ2000-104
computer systems administrator,occ2000-110
computer systems analyst,occ2000-100
computer systems design analyst,occ2000-100
computer systems designer,occ2000-100
computer systems director of information,occ2000-011
computer systems engineer,occ2000-102
computer systems systems analyst,occ2000-100
computer tape librarian,"occ2000-526, occ2000-526"
computer terminal operator,occ2000-581
computer tester,occ2000-140
computer time sales,occ2000-484
computer trainer,occ2000-104
computer typesetter,occ2000-581
computing machine operator,occ2000-580
computing systems analyst,occ2000-100
computing systems maintenance,occ2000-701
computing systems mechanic,occ2000-701
concaver,"occ2000-834, occ2000-801"
concentrator operator,occ2000-896
concert,KZ-Music
concert artist,occ2000-275
concert manager,occ2000-043
concert pianist,occ2000-275
concert singer,occ2000-275
concerto,KZ-Music
concession attendant ,occ2000-406
concession manager,occ2000-470
concession stand attendant,occ2000-406
concession stand sales,occ2000-406
concessionaire,"occ2000-406, occ2000-031"
conche operator,occ2000-784
concierge,occ2000-453
conciliator,"occ2000-062, occ2000-211"
concrete analyst,occ2000-192
concrete batcher,occ2000-865
concrete batching and mixing plant supervisor,occ2000-770
concrete block layer,occ2000-622
concrete block maker,occ2000-872
concrete block mason,occ2000-622
concrete block molder,occ2000-872
concrete block plant supervisor,occ2000-770
concrete buildings assembler,occ2000-676
concrete buster operator,occ2000-626
concrete curer,occ2000-626
concrete engineer,occ2000-136
concrete fence builder,occ2000-625
concrete finisher,occ2000-625
concrete finisher apprentice,occ2000-625
concrete finishing machine operator,occ2000-630
concrete floater,occ2000-625
concrete floor installer,occ2000-625
concrete grinder operator,occ2000-625
concrete handler,occ2000-626
concrete inspector,occ2000-874
concrete layer,occ2000-626
concrete mason,occ2000-625
concrete mixer,"occ2000-865, occ2000-660, occ2000-626"
concrete mixer driver,occ2000-913
concrete mixer operator,occ2000-865
concrete mixing truck driver,occ2000-913
concrete pavement installer,occ2000-676
concrete paving machine operator,occ2000-630
concrete pipe making machine operator,occ2000-872
concrete plant laborer,occ2000-896
concrete pointer,occ2000-625
concrete polisher,occ2000-625
concrete pourer,occ2000-626
concrete puddler,occ2000-626
concrete rubber,occ2000-625
concrete sculptor,occ2000-260
concrete smoother,occ2000-625
concrete spreader,occ2000-626
concrete stone fabricating supervisor,occ2000-770
concrete stone fabricator,occ2000-892
concrete stone finishing supervisor,occ2000-770
concrete technician,occ2000-192
concrete tester,occ2000-192
concrete truck driver,occ2000-913
concrete vibrator operator,occ2000-626
concrete worker,occ2000-626
concreting supervisor,occ2000-620
condemnation engineer,occ2000-136
condenser cleaner,occ2000-961
condenser operator,occ2000-896
condenser setter,occ2000-804
condenser tester,occ2000-874
condenser tube tender,occ2000-864
condenser winder,occ2000-772
conditioner,occ2000-896
conditioner tender,occ2000-846
conditioner tumbler,occ2000-830
conditioning yard supervisor,occ2000-770
condominium association manager,occ2000-041
conductor,"occ2000-924, occ2000-455, isco08-2652, isco08-2652"
conduit bender,occ2000-771
conduit cleaner,occ2000-961
conduit installer,"occ2000-635, occ2000-742"
conduit mechanic,"occ2000-742, occ2000-676"
conduit reamer operator,occ2000-896
cone blocker,occ2000-832
cone cleaner,occ2000-846
cone examiner,occ2000-874
cone machine operator,occ2000-842
cone marker,occ2000-846
cone picker,occ2000-612
cone runner,occ2000-864
cone sewer,occ2000-832
cone tender,occ2000-864
cone treater,occ2000-896
cone trucker,occ2000-975
cone winder,occ2000-842
cone worker,occ2000-896
coner,occ2000-842
confectioner,"occ2000-780, occ2000-784"
confectionery cooker,occ2000-785
confectionery drops machine operator,occ2000-872
conference organizer,occ2000-072
conference planner,occ2000-072
conference producer,occ2000-072
conference service coordinator,occ2000-072
conferences or conventions reservationist,occ2000-072
confidential secretary,occ2000-570
congressional aide,occ2000-593
congressional assistant,occ2000-593
congressional district,isco08-1111
congressional representative,occ2000-003
congressman,occ2000-003
coning machine operator,occ2000-842
connection worker,"occ2000-626, occ2000-692"
connector,"occ2000-832, occ2000-772"
connie cleaner,occ2000-962
connie scratcher,occ2000-962
conservation officer,occ2000-164
conservation science teacher,occ2000-220
conservation scientist,occ2000-164
conservation technician,occ2000-240
conservation worker,occ2000-612
conservationist,occ2000-164
conservator,occ2000-240
consignee,occ2000-485
console (organs) assembler,occ2000-772
console operator,occ2000-580
const. equipment overhauler,occ2000-722
constable,occ2000-385
construction and maintenance inspector,occ2000-874
construction checker,occ2000-666
construction code administrator,occ2000-666
construction craft laborer,occ2000-626
construction electrician,"824, 829"
construction electricians,"824, 829"
construction engineer,occ2000-136
construction equipment dealer,274
construction equipment dealers,274
construction equipment mechanic,"620, 625, occ2000-722"
construction equipment mechanic helper,occ2000-761
construction equipment mechanics,"620, 625"
construction estimator,occ2000-060
construction inspector,occ2000-666
construction job cost estimator,occ2000-060
construction laborer,"869, occ2000-626, occ2000-626"
construction laborers,869
construction lineman,occ2000-742
construction machinery sales,occ2000-485
construction manager,occ2000-022
construction millwright,638
construction millwrights,638
construction or leak gang laborer,occ2000-626
construction person,"occ2000-742, occ2000-626"
construction superintendent,"occ2000-022, occ2000-022"
construction superintendent assistant,occ2000-620
construction supervisor,"182, occ2000-620"
construction supervisors,182
construction trades contractor,occ2000-022
construction worker,occ2000-626
constructor,occ2000-022
consul,occ2000-043
consultant,"isco08-2, isco08-231, isco08-2631"
consultant ,"occ2000-476, occ2000-071"
consultant electronics,occ2000-170
consultant sales,occ2000-071
consultant teacher,occ2000-255
consulting \ other specified type--code by field of specialization engineer,occ2000-
consulting \ specified occupation--code by occupation,occ2000-
consulting engineer,occ2000-153
consulting nurse,occ2000-313
consumer advocate,"096, 110"
consumer advocates,"096, 110"
consumer credit counselor,"160, 205, 241, 249"
consumer credit counselors,"160, 205, 241, 249"
consumer education specialist,occ2000-234
contact acid plant operator helper,occ2000-895
contact agent,occ2000-525
contact and service clerks supervisor,occ2000-500
contact clerk,occ2000-535
contact lens blocker,occ2000-876
contact lens cutter,occ2000-876
contact lens fitter,occ2000-352
contact lens manufacturer,occ2000-876
contact lens molder,occ2000-810
contact lens technician,occ2000-876
contact officer,occ2000-525
contact person,"occ2000-480, occ2000-481, occ2000-535, occ2000-496, occ2000-485, occ2000-164"
contact representative,occ2000-525
container coordinator,occ2000-550
container filler,occ2000-964
container maker,occ2000-962
container washer,occ2000-961
containers sales,occ2000-485
content checker,occ2000-874
contingents supervisor,occ2000-531
continuity clerk,occ2000-582
continuity director,occ2000-271
continuity editor,occ2000-283
continuity manager,occ2000-286
continuity reader,occ2000-283
continuity tester,occ2000-874
continuity writer,occ2000-285
continuous mining machine coal miner,occ2000-684
continuous mining machine company miner,occ2000-684
continuous mining machine contract miner,occ2000-684
continuous mining machine lode miner,occ2000-684
continuous mining machine operator,occ2000-684
continuous weld pipe mill supervisor,occ2000-770
contortionist,occ2000-276
contour grinder,occ2000-865
contract administrator,occ2000-015
contract agent,occ2000-051
contract clerk ,occ2000-215
contract coordinator,occ2000-015
contract driller,occ2000-682
contract loader,occ2000-613
contract mail carrier,occ2000-913
contract manager,occ2000-015
contract miner ,occ2000-682
contract negotiator,"occ2000-062, occ2000-211, occ2000-062, occ2000-211"
contract preparer,occ2000-214
contract specialist,occ2000-053
contracting engineer,occ2000-136
contributor to medical and surgical journals,naics-264
control analyst,occ2000-192
control board operator,"occ2000-863, occ2000-500, occ2000-863, occ2000-860, occ2000-864"
control chemist,occ2000-172
control clerk ,occ2000-560
control engineer,occ2000-290
control inspector,occ2000-874
control operator,"occ2000-290, occ2000-863, occ2000-822"
control operator pilot,occ2000-864
control panel tester,occ2000-874
control records and tape recordings engineer,occ2000-290
control room technician,occ2000-290
control supervisor,occ2000-290
control tower operator,"occ2000-926, occ2000-560, occ2000-904"
controller,"186, isco08-12"
controller ,occ2000-012
controller inspector,occ2000-941
controller mechanic,occ2000-722
controllers,186
convalescent sitter,occ2000-461
convention manager,occ2000-072
convention planner,occ2000-072
convention services sales,occ2000-484
convention specialist,187
convention specialists,187
conversion man,occ2000-896
converter,"occ2000-896, occ2000-485, occ2000-804"
converter operator,"occ2000-896, occ2000-804"
converter skimmer,occ2000-804
converter supervisor,occ2000-770
convertible top installer,occ2000-845
convex grinder,occ2000-865
conveyancer,occ2000-210
conveyor attendant,occ2000-950
conveyor belt installer,occ2000-733
conveyor belt operator,occ2000-950
conveyor console operator,occ2000-950
conveyor feeder,occ2000-963
conveyor feeder offbearer,occ2000-963
conveyor installer,occ2000-733
conveyor loader,occ2000-896
conveyor maintenance mechanic,occ2000-733
conveyor man,occ2000-896
conveyor mechanic,occ2000-733
conveyor operator,"occ2000-830, occ2000-950"
conveyor system dispatcher,occ2000-950
conveyor tender,occ2000-950
convict guard,occ2000-380
convolute tube winder,occ2000-893
cook ,"occ2000-780, occ2000-402, occ2000-402, occ2000-785"
cook and waitress/waiter,occ2000-405
cook apprentice,occ2000-402
cook box filler,occ2000-785
cook helper,"occ2000-895, occ2000-403"
cook house laborer,occ2000-896
cook house supervisor,occ2000-770
cook room supervisor,occ2000-770
cooker cleaner,occ2000-961
cooker loader,occ2000-975
cooker operator,occ2000-785
cookie padder,occ2000-834
cooking chef,"occ2000-402, occ2000-400"
cooking teacher,"occ2000-232, occ2000-220, occ2000-234"
cooks and chef,"313, 315"
cooks and chefs,"313, 315"
cooky machine operator,occ2000-896
cooky packer,occ2000-964
cooler man,occ2000-962
cooler operator,"occ2000-804, occ2000-890"
cooler service supervisor,occ2000-700
cooler tender,occ2000-890
cooling machine operator,occ2000-890
cooling pan tender,occ2000-890
cooling pipe inspector,occ2000-874
cooling room attendant,occ2000-443
cooling system operator,occ2000-861
cooling tower operator,occ2000-861
cooper,occ2000-762
cooper apprentice,occ2000-762
cooper helper,occ2000-761
cooperage shop supervisor,occ2000-770
cooperative,naics-51
cooperative extension service worker,096
cooperative extension service workers,096
cooperative manager,occ2000-041
cooperer,occ2000-762
coopersmith,occ2000-762
coordinator \ any not listed,"occ2000-593, occ2000-043"
coordinator of rehabilitation services,occ2000-200
coordinator of volunteer services,occ2000-042
coordinator sales,occ2000-005
cop,occ2000-385
cop breaker,occ2000-846
cop examiner,occ2000-874
cop winder,occ2000-842
coping machine assembler,occ2000-772
coping machine operator,occ2000-853
copper,occ2000-842
copper and gold mining,naics-21
copper etcher,occ2000-825
copper miner ,occ2000-684
copper plate lithographer,occ2000-825
copper plate printer,occ2000-826
copper plater,occ2000-820
copper tapper,occ2000-804
coppersmith,"occ2000-644, occ2000-652"
coppersmith apprentice,"occ2000-644, occ2000-652"
coppersmith helper,occ2000-895
copping machine operator,occ2000-842
copra processor,occ2000-865
copra sampler,occ2000-874
copy boy or girl,occ2000-551
copy camera operator,occ2000-883
copy chaser,occ2000-551
copy cutter,occ2000-560
copy editor,"132, occ2000-283"
copy editors,132
copy holder,occ2000-591
copy lathe tender,occ2000-854
copy machine operator,occ2000-590
copy marker,occ2000-591
copy messenger,"occ2000-551, occ2000-551"
copy preparer,occ2000-591
copy reader ,occ2000-283
copy room technician,occ2000-590
copy writer,occ2000-285
copying machine mechanic,occ2000-701
copyist ,"occ2000-896, occ2000-263, occ2000-846"
copyman,occ2000-591
copyright clerk,occ2000-593
copyright expert,occ2000-593
copyright manager,occ2000-050
cord cutter,occ2000-871
cord maker,occ2000-896
cord operator,occ2000-832
cord tire builder,occ2000-894
cordage sales,occ2000-485
corder,occ2000-832
corduroy brusher operator,occ2000-846
corduroy cutting supervisor,occ2000-770
cordwainer,occ2000-834
cordwood cutter,"occ2000-613, occ2000-853"
core analysis operator,occ2000-174
core analyst,occ2000-174
core baker,occ2000-810
core blower,occ2000-810
core carrier,occ2000-810
core checker,occ2000-874
core cleaner,occ2000-961
core composer feeder,occ2000-854
core composer machine tender,occ2000-885
core cutter and reamer,occ2000-871
core dipper,occ2000-896
core drier,occ2000-810
core drill operator,"occ2000-682, occ2000-680"
core drill operator helper,"occ2000-693, occ2000-660"
core driller,"occ2000-680, occ2000-682"
core driller helper,"occ2000-693, occ2000-660"
core drilling supervisor,occ2000-620
core extruder,occ2000-792
core filer,occ2000-810
core finisher,occ2000-896
core fitter,occ2000-810
core inspector,occ2000-874
core layer machine operator,occ2000-854
core loader,occ2000-964
core machine operator,occ2000-886
core machine tender,occ2000-885
core maker helper,occ2000-775
core man,occ2000-592
core mounter,occ2000-810
core oven tender,occ2000-810
core paster,occ2000-810
core piler,occ2000-810
core placer,occ2000-810
core setter,occ2000-810
core shaper,occ2000-792
core stacker,occ2000-810
core sticker,occ2000-810
core sucker,occ2000-784
core winder,"occ2000-772, occ2000-842"
core winder machine operator,occ2000-896
coremaker ,occ2000-810
coremaker apprentice,occ2000-810
coremaker supervisor,occ2000-770
coremaking machine operator,occ2000-810
coremaking machine setter,occ2000-810
coring machine operator,occ2000-886
cork cutter,occ2000-871
cork grinder,occ2000-854
cork insulation installer,occ2000-640
cork insulation setter,occ2000-640
cork insulator,occ2000-640
cork molder,occ2000-854
cork pressing machine operator,occ2000-963
cork tipper,occ2000-896
cork wirer,occ2000-896
corker,occ2000-880
corking machine operator,occ2000-880
corn breeder,"occ2000-160, occ2000-020, occ2000-021"
corn cooker,occ2000-785
corn cutter,"occ2000-871, occ2000-605"
corn detasseler,"occ2000-605, occ2000-962"
corn grinder,occ2000-865
corn grower,"occ2000-020, occ2000-021"
corn husker,"occ2000-865, occ2000-605"
corn husker machine operator,occ2000-605
corn picker,occ2000-605
corn popper,occ2000-783
corn sheller,occ2000-605
corn shredder,occ2000-605
corn shucker,occ2000-605
corncob pipe supervisor,occ2000-770
corner bead operator,occ2000-956
corner cutter,occ2000-871
corner former,occ2000-853
corner maker,occ2000-832
corner trimmer operator,occ2000-853
cornetist,occ2000-275
cornice maker,"occ2000-896, occ2000-652"
coronary care nurse,occ2000-313
coroner,occ2000-056
coroner's juror,occ2000-056
corporate administration group,isco08-12
corporate and estate law,isco08-2611
corporate and tax lawyer,isco08-261
corporate counsel,occ2000-210
corporate financial analyst,occ2000-084
corporate[law,isco08-2611
corporation counsel,occ2000-210
corporation lawyer,occ2000-210
corporation officer,occ2000-001
corporation secretary,occ2000-043
corral boss,occ2000-600
correction officer,occ2000-380
correction officer head,occ2000-370
correction officer supervisor,occ2000-370
correction worker,occ2000-896
correctional guard,occ2000-380
correctional therapy teacher,occ2000-220
correctional treatment specialist,occ2000-202
corrections officer,372
corrections officers,372
corrective and manual arts therapist,occ2000-324
corrective therapist,occ2000-324
corrective therapy aide,occ2000-365
corrective therapy aide teacher,"occ2000-220, occ2000-220"
correspondence analyst,occ2000-521
correspondence clerk,"209, occ2000-521"
correspondence clerks,209
correspondence dictator,occ2000-521
correspondence renew clerk,occ2000-521
correspondence section supervisor,occ2000-500
correspondence transcriber,occ2000-521
correspondent,"occ2000-281, occ2000-521, isco08-2642"
correspondent sales,occ2000-521
corrosion control engineer,occ2000-153
corrosion control fitter,occ2000-644
corrosion engineer,occ2000-145
corrugated fastener driver,occ2000-854
corrugator,"occ2000-893, occ2000-810, occ2000-892, occ2000-854"
corrugator helper,occ2000-895
corrugator operator,occ2000-893
corrugator operator helper,occ2000-895
corsage maker,occ2000-263
corset fitter,"occ2000-846, occ2000-835"
corset maker,occ2000-832
corsetier,"occ2000-846, occ2000-476"
corsets sales,occ2000-476
cosmetic assembler,occ2000-775
cosmetic consultant,"occ2000-451, occ2000-476"
cosmetic counselor,occ2000-476
cosmetic maker,occ2000-865
cosmetician,occ2000-451
cosmetician apprentice,occ2000-451
cosmetics and toiletries sales,occ2000-476
cosmetics presser,occ2000-872
cosmetics sales,occ2000-495
cosmetics supervisor,occ2000-770
cosmetologist,"332, occ2000-451"
cosmetologists,332
cost accountant,occ2000-080
cost accounting clerk,occ2000-512
cost analyst,occ2000-082
cost and sales record supervisor,occ2000-500
cost clerk,occ2000-511
cost estimator,occ2000-060
"cost estimator--code as ""engineer""",occ2000-
"cost estimator--see ""sales""",occ2000-
cost expediter,occ2000-080
cost job estimator,occ2000-060
cost recorder,occ2000-511
costume attendant,occ2000-443
costume design teacher,occ2000-220
costume designer,occ2000-263
costume director,occ2000-263
costumer,occ2000-443
costumer assistant,occ2000-443
costuming supervisor,occ2000-443
cottage cheese maker,"occ2000-784, occ2000-896"
"cottage father--see ""house father""",occ2000-
cottage master,occ2000-380
"cottage mother--see ""house mother""",occ2000-
cottage parent,"occ2000-464, occ2000-380"
cottage supervisor,"occ2000-464, occ2000-380"
cotton acreage measurer,occ2000-563
cotton agent,occ2000-051
cotton baler,"occ2000-605, occ2000-962"
cotton ball bagger,occ2000-963
cotton ball machine tender,occ2000-846
cotton breeder,"occ2000-160, occ2000-020, occ2000-021"
cotton broker,"occ2000-051, occ2000-482"
cotton buyer,occ2000-051
cotton candy maker,occ2000-412
cotton chopper,occ2000-605
cotton classer,"occ2000-604, occ2000-601"
cotton cleaner,occ2000-963
cotton converter,occ2000-051
cotton expert,occ2000-604
cotton factor,occ2000-051
cotton farmer,"occ2000-020, occ2000-021"
cotton feeder,occ2000-963
cotton ginner,occ2000-605
cotton ginner helper,occ2000-895
cotton grader,"occ2000-601, occ2000-604"
cotton grower,"occ2000-020, occ2000-021"
cotton header,occ2000-900
cotton inspector,"occ2000-601, occ2000-874"
cotton jammer,occ2000-962
cotton machine operator,occ2000-846
cotton opener,occ2000-846
cotton picker,occ2000-605
cotton picker operator,occ2000-605
cotton presser,occ2000-872
cotton puller,"occ2000-963, occ2000-605"
cotton roll packer,occ2000-880
cotton sampler,occ2000-874
cotton seed culler,occ2000-604
cotton stomper,occ2000-605
cotton stripper,occ2000-605
cotton tier,occ2000-964
cotton washer,occ2000-963
cotton weigher,occ2000-874
cotton wringer,occ2000-963
"cotton, tobacco, and peanut farmer",404
"cotton, tobacco, and peanut farmers",404
cottrell operator,occ2000-896
council member,occ2000-003
council on foreign relations,naics-81
councilman,occ2000-003
counsel,isco08-2611
counseling aide,occ2000-202
counseling psychologist,occ2000-182
counseling services manager,occ2000-042
counselor ,occ2000-496
counselor \ any other,"occ2000-200, occ2000-200"
counselor at law,occ2000-210
counselor or worker boy's adviser,occ2000-202
counselor or worker boys' adviser,occ2000-200
counselor or worker girls' adviser,"occ2000-200, occ2000-200, occ2000-462"
counselor supervisor,occ2000-200
counter,"occ2000-896, occ2000-563"
counter attendant,occ2000-406
counter attendant ,"occ2000-474, occ2000-406"
"counter boy--see ""counter clerk""",occ2000-
counter checker,occ2000-474
counter clerk ,"occ2000-554, occ2000-406, occ2000-474, occ2000-475"
counter clerk \ any other specified,occ2000-474
"counter clerk \ selling any commodity--see ""salesperson""",occ2000-
counter cutter,occ2000-834
counter former,occ2000-834
"counter girl--see ""counter clerk""",occ2000-
counter helper,"occ2000-474, occ2000-406"
counter hop,occ2000-406
counter maker,occ2000-834
"counter man--see ""counter clerk""",occ2000-
counter molder,occ2000-834
counter roller,occ2000-834
counter stacker,occ2000-834
counter stitcher,occ2000-834
counter supervisor,occ2000-401
counter supply worker,occ2000-413
counter tender,occ2000-874
counter waiter,occ2000-406
counter waitress/waiter,occ2000-406
counter weigher,occ2000-563
"counterwoman--see ""counter clerk""",occ2000-
counting machine operator,occ2000-896
country,KZ-Music
county administrator,occ2000-001
county agent,occ2000-255
county agricultural agent,occ2000-255
county assessor,occ2000-081
county attorney,occ2000-210
county auditor,occ2000-080
county bailiff,occ2000-380
county clerk,occ2000-043
county commissioner,occ2000-001
county demonstrator,occ2000-255
county engineer,occ2000-136
county extension agent,occ2000-255
county health officer,occ2000-306
county home demonstration agent,occ2000-255
county home demonstrator,occ2000-255
county judge,occ2000-211
county nurse,occ2000-313
county official,occ2000-043
county or county office director,occ2000-042
county ordinary,occ2000-211
county recorder,occ2000-043
county service officer,occ2000-525
county sheriff,occ2000-385
county superintendent of schools,occ2000-001
county supervisor,"occ2000-001, occ2000-255"
county surveyor,occ2000-131
county treasurer,occ2000-012
coupler,"occ2000-613, occ2000-923"
coupon clerk,"occ2000-520, occ2000-593"
coupon redemption clerk,occ2000-476
courier,occ2000-551
courier delivery driver,occ2000-551
court bailiff,occ2000-380
court clerk,"243, occ2000-522"
court clerks,243
court crier,occ2000-522
court messenger,occ2000-551
court officer,occ2000-380
court reporter,"occ2000-281, occ2000-215"
court transcriber,occ2000-215
court worker,occ2000-202
courtesy booth cashier,"occ2000-472, occ2000-472"
courtesy car driver,occ2000-914
courtesy clerk,occ2000-962
courtesy van driver,occ2000-914
cover cutter,occ2000-871
cover operator,occ2000-804
cover seamer,occ2000-832
cover stitch machine operator,occ2000-832
cover stripper,occ2000-885
coverer,"occ2000-826, occ2000-775, occ2000-896"
covering and lining supervisor,occ2000-770
covering machine operator,"occ2000-832, occ2000-896"
cow buyer,occ2000-051
cow puncher,occ2000-605
cow rider,occ2000-605
cow tender,occ2000-605
cow tester,occ2000-190
cow washer,occ2000-605
cowboy,"occ2000-276, occ2000-605, occ2000-605"
cowlman,occ2000-652
crab backer,occ2000-781
crab butcher,occ2000-781
crab catcher,occ2000-610
crab fisherman,occ2000-610
crab picker,occ2000-896
crabber,"occ2000-610, occ2000-846"
crabbing machine operator,occ2000-846
crack off person,occ2000-815
cracker,occ2000-865
cracker off,occ2000-896
cracker sprayer,occ2000-881
cracking machine operator,occ2000-896
cracking still operator,occ2000-864
cracking unit operator,occ2000-864
crackling press operator,occ2000-896
cradle placer,occ2000-676
craft artist,occ2000-260
craft worker,"occ2000-875, occ2000-260"
crafter,"occ2000-875, occ2000-260"
