fn,clause,codes
Indobit-A-NYT1980_1-500-8.txt, the Middle Western engineer whose little silver boxes are the controversial but uncontested scorekeepers of American television,isco08-21/214 (engineer),naics-51/71 (television),naicsKZ-214/215 (engineer),naicsKZ-2654/2655 (television)
Indobit-A-NYT1987 - April 1 - June 30-283.txt, a former trustee of Sarah Lawrence College,isco08-112 (trustee),naics-61 (sarah lawrence college),naics-61 (college)
Indobit-A-NYT1986_501-1000-241.txt, retired deputy chief fire marshal of the New York City Fire Department,isco08-1349 (fire marshal),isco08-1112/1 (chief),isco08-110 (marshal),isco08-1349 (deputy chief fire marshal),naics-92 (fire department)
Indobit-A-NYT1983 - Oct 1 - Dec 31-311.txt, the Anglican theologian whose unorthodoxy drew the wrath of traditionalist leaders of the Church of England,isco08-2651 (drew),isco08-2636 (theologian),naics-813/61 (church of england)
Indobit-A-NYT1984_501-1000-238.txt, an Argentine author who established his reputation with writings on the decadence of Argentina's upper classes,isco08-264/2641 (author),naics-92 (argentina),naicsKZ-2641 (author)
Indobit-A-NYT1986_1001-1500-310.txt, who founded one of the most popular steak houses in Greenwich Village and ran it for almost 25 years,KZ-Genre (popular),isco08-1120/112 (founded)
Indobit-A-NYT1983 - April 1 - June 30-71.txt," poet, author, publisher, librettist and film producer","OccTitleAlec-159, 187, 962(producer)",isco08-243 (publisher),isco08-12/2654 (producer),isco08-2652 (librettist),isco08-265/2641 (poet),isco08-264/2641 (author),isco08-2654 (film producer),naicsKZ-2654 (producer),naicsKZ-2641/2642 (publisher),naicsKZ-2641 (poet),naicsKZ-2654/2655 (film),naicsKZ-2641 (author)
Indobit-A-NYT1983 - July 1 - Sep 30-130.txt, director emeritus of medicine at New York's Beth Israel Medical Center,"OccTitleAlec-150, 159(director)",isco08-1120/1/12/112/1114/2654 (director),naics-62 (medical center),naics-62 (beth israel),naicsKZ-1120 (director)
Indobit-A-NYT1981 - April 1 - June 30-84.txt, a wine merchant and retailer who was a leader in discount merchandising,isco08-142 (merchant),isco08-142 (retailer),naics-44 (merchandising)
Indobit-A-NYT1980_501-904-318.txt, a chemical engineer who invented Scotch tape,OccTitleAlec-008(chemical engineer),isco08-2145 (chemical engineer),isco08-21/214 (engineer),naicsKZ-214/215 (engineer)
Indobit-A-NYT1985 - Oct 1 - Dec 31-343.txt, a Yiddish writer and the last editor of the defunct New York anarchist journal Freie Arbeiter Stimme (Free Voice of Labor),isco08-2641 (writer),isco08-264/12/2541/2641/2642/2651 (editor),naics-71 (freie arbeiter stimme),naics-51/71 (journal),naicsKZ-2641/2642 (writer),naicsKZ-2641/2642 (editor)
Indobit-A-NYT1982_1-500-274.txt, a former Government lawyer who sharply criticized excessive subsidies to private shipping companies and who later became the chief spokesman for a large segment of that industry,OccTitleAlec-110–111(lawyer),isco08-1112/1 (chief),isco08-2611 (lawyer),isco08-2432 (chief spokesman),naics-92 (government),naics-48 (shipping),naicsKZ-2611 (lawyer)
Indobit-A-NYT1985 - Jan 1 - March 31-308.txt, surgeon emeritus at the Memorial Sloan-Kettering Cancer Center and a frequent contributor to medical and surgical journals,OccTitleAlec-070(surgeon),isco08-2212/221 (surgeon),naics-62 (cancer center),naics-264 (contributor to medical and surgical journals),naicsKZ-2212 (surgeon)
Indobit-A-NYT1984_501-1000-146.txt, a retired professor of Hebrew literature at the Jewish Theological Seminary,isco08-2310/231 (professor),naics-61 (jewish theological seminary),naicsKZ-2310 (professor)
Indobit-A-NYT1985 - July 1 - Sep 30-114.txt, an Italian diplomat who served as his country's delegate to the United Nations in the 1960's and 1970's,KZ-Genre (country),isco08-1112 (diplomat),naics-92 (delegate to the united nations),naics-81 (united nations)
Indobit-A-NYT1985 - April 1 - June 30-88.txt, the country's leading avant-garde designer during the 1950's and 60's,KZ-Genre (country),isco08-216/2163/2654 (designer)
Indobit-A-NYT1984_1001-1500-163.txt, a retired RCA Corporation scientist and inventor who led in the development of the wire and radio transmission of pictures and other images,KZ-Forms of Music (radio),isco08-2634/21 (scientist),naics-51 (radio),naics-31 (rca corporation),naicsKZ-2652/2654/2655/2656 (radio)
Indobit-A-NYT1984_1-500-69.txt, a senior partner in the New York City law firm of Davis Polk & Wardwell,isco08-2611 (law firm),isco08-112/1120/2611/241 (partner),isco08-2611 (senior partner),naics-54 (davis polk & wardwell),naics-54 (law firm)
Indobit-A-NYT1984_501-1000-105.txt, a dermatologist and member of the emeritus staff of the Elizabeth (N.J.) General Medical Center,isco08-2212 (dermatologist),isco08-11 (general),naics-62 (medical center)
Indobit-A-NYT1982_501-1000-345.txt, a reporter and religion editor for The New York Herald Tribune,isco08-264/2642 (reporter),isco08-264/12/2541/2641/2642/2651 (editor),naics-51 (new york herald tribune),naics-51 (the new york herald tribune),naicsKZ-2642 (reporter),naicsKZ-2641/2642 (editor)
Indobit-A-NYT1983 - July 1 - Sep 30-52.txt," a poet and one of the most influential dance critics in America, committed suicide Tuesday night at his summer home in Searsport",isco08-265/2641 (poet),isco08-2641 (dance critics),naicsKZ-2653 (dance),naicsKZ-2641 (poet)
Indobit-A-NYT1985 - Jan 1 - March 31-169.txt, an anthropologist and the director of the Research Institute for the Study of Man,OccTitleAlec-055(anthropologist),"OccTitleAlec-150, 159(director)",isco08-2632 (anthropologist),isco08-1120/1/12/112/1114/2654 (director),naics-61 (research institute for the study of man),naicsKZ-2632 (anthropologist),naicsKZ-1120 (director)
Indobit-A-NYT1983 - July 1 - Sep 30-26.txt, a poet,isco08-265/2641 (poet),naicsKZ-2641 (poet)
Indobit-A-NYT1983 - Jan 1 - March 31-377.txt, general manager of the Pittsburgh Penguins of the National Hockey League,OccTitleAlec-189(general manager),isco08-1219 (general manager),isco08-11 (general),naics-71 (pittsburgh penguins),naics-71 (national hockey league),naicsKZ-1120 (manager)
Indobit-A-NYT1985 - Jan 1 - March 31-74.txt," who was Governor of Texas from 1949 to 1957, longer than any other chief executive of the state",isco08-1120/11 (chief executive),isco08-1112/1 (chief),isco08-1112/111 (governor),isco08-11/12 (executive),naics-92 (texas),naicsKZ-1120 (executive),naicsKZ-1112 (governor)
Indobit-A-NYT1987 - Jan 1 - March 31-26.txt," former president, publisher and chairman of The Detroit News",isco08-243 (publisher),isco08-1120/11/2636/112/1111/1112/1114 (president),isco08-1120/1/263/1345/11/112/1112 (chairman),naics-51 (detroit news),naicsKZ-2641/2642 (publisher),naicsKZ-1120 (chairman),naicsKZ-1120 (president)
Indobit-A-NYT1981 - Oct 1 - Dec 31-326.txt, a prominent Washington lawyer and adviser in Franklin D. Roosevelt's Administration,OccTitleAlec-110–111(lawyer),isco08-11 (adviser),isco08-2611 (lawyer),naics-92 (franklin d. roosevelt's administration),naicsKZ-2611 (lawyer)
Indobit-A-NYT1981 - July 1 - Sep 30-199.txt, a professor of physics at Princeton University,isco08-2310/231 (professor),naics-61 (princeton university),naics-61/62 (university),naics-62 (princeton),naics-61 (physics),naicsKZ-2310 (professor),naicsKZ-2111 (physics)
Indobit-A-NYT1985 - April 1 - June 30-13.txt, sales promotion director of Abraham & Straus for 32 years until his retirement as a senior vice president in 1977,"OccTitleAlec-150, 159(director)",isco08-1/12 (senior vice president),isco08-1120/11/2636/112/1111/1112/1114 (president),isco08-1221 (sales promotion director),isco08-1120/1/12/112/1114/2654 (director),isco08-1120/121/12 (vice president),naics-44 (abraham & straus),naicsKZ-1120 (director),naicsKZ-1120 (president),naicsKZ-1120 (vice)
Indobit-A-NYT1983 - Jan 1 - March 31-110.txt, a former president of the American President Lines shipping company and a leading figure in Democratic Party politics,isco08-1120/11/2636/112/1111/1112/1114 (president),naics-54/31 (company),naics-48 (shipping company),naics-48 (american president lines),naics-48 (shipping),naicsKZ-1120 (president)
Indobit-A-NYT1986_1-500-75.txt, a business executive,isco08-11/12 (executive),isco08-1/12 (business executive),naicsKZ-1120 (executive)
Indobit-A-NYT1984_1001-1500-168.txt," the former chairman and chief executive of the Drackett Company, a major manufacturer of household goods",isco08-1120/11 (chief executive),isco08-1112/1 (chief),isco08-12 (major),isco08-1120/1/263/1345/11/112/1112 (chairman),isco08-11/12 (executive),naics-54/31 (company),naics-31 (drackett company),naicsKZ-1120 (executive),naicsKZ-1120 (chairman)
Indobit-A-NYT1980_1-500-461.txt, who earned baseball fame by pitching a perfect game as a reliever in 1917,naics-71 (baseball),naicsKZ-3421/3422 (baseball)
