term,code(s)
archaeologist,055
forensic scientists,059
forensic scientist,059
linguists,059
linguist,059
anesthesiologists,070
anesthesiologist,070
ophthalmologists,070
ophthalmologist,070
physicians,070
physician,070
psychiatrists,070
psychiatrist,070
surgeons,070
surgeon,070
osteopathic physicians,071
osteopathic physician,071
dentists,072
dentist,072
veterinarians,073
veterinarian,073
pharmaceutical technicians,074
pharmaceutical technician,074
pharmacists,074
pharmacist,074
nurse anesthetists,075
nurse anesthetist,075
nurse–midwives,075
nurse–midwive,075
registered nurses,075
registered nurse,075
occupational therapists,076
occupational therapist,076
occupational therapy assistants,076
occupational therapy assistant,076
physical therapists,076
physical therapist,076
physical therapy assistants,076
physical therapy assistant,076
recreational therapists,076
recreational therapist,076
speech pathologists and audiologists,076
speech pathologists and audiologist,076
recreation workers,"076, 159, 187, 195"
recreation worker,"076, 159, 187, 195"
dietetic technicians,077
dietetic technician,077
menu planners,077
menu planner,077
dietitians and nutritionists,"077, 096"
dietitians and nutritionist,"077, 096"
blood bank technologists,078
blood bank technologist,078
cardiac-monitor technicians/perfusionists,078
cardiac-monitor technicians/perfusionist,078
cardiology technologists,078
cardiology technologist,078
dental hygienists,078
dental hygienist,078
dialysis technicians,078
dialysis technician,078
electroneurodiagnostic technologists,078
electroneurodiagnostic technologist,078
medical laboratory technologists,078
medical laboratory technologist,078
medical laboratory workers,078
medical laboratory worker,078
nuclear medicine technologists,078
nuclear medicine technologist,078
prosthetists and orthotists,078
prosthetists and orthotist,078
radiologic technologists,078
radiologic technologist,078
genetic engineering research assistants,"078, 109, 199"
genetic engineering research assistant,"078, 109, 199"
acupuncturists,079
acupuncturist,079
chiropractors,079
chiropractor,079
dental assistants,079
dental assistant,079
emergency medical technicians,079
emergency medical technician,079
inhalation therapists,079
inhalation therapist,079
licensed practical nurses,079
licensed practical nurse,079
medical assistants,079
medical assistant,079
medical physicists,079
medical physicist,079
medical record administrators,079
medical record administrator,079
operating room technicians,079
operating room technician,079
optometric assistants,079
optometric assistant,079
optometrists,079
optometrist,079
orthoptists,079
orthoptist,079
physician assistants,079
physician assistant,079
podiatrists,079
podiatrist,079
psychiatric aides/technicians,079
psychiatric aides/technician,079
public health educators,079
public health educator,079
sanitarians,079
sanitarian,079
medical record technicians and clerks,"079, 245"
medical record technicians and clerk,"079, 245"
college/university administrators,090
college/university administrator,090
college teachers,"090, 099"
college teacher,"090, 099"
sports management professionals,"090, 153, 187"
sports management professional,"090, 153, 187"
college student personnel workers,"090, 166"
college student personnel worker,"090, 166"
business and family consumer scientists,"090–092, 096"
business and family consumer scientist,"090–092, 096"
secondary school teachers,"091, 099"
secondary school teacher,"091, 099"
elementary and preschool teachers,"092, 099"
elementary and preschool teacher,"092, 099"
cooperative extension service workers,096
cooperative extension service worker,096
family and consumer science researchers,096
family and consumer science researcher,096
consumer advocates,"096, 110"
consumer advocate,"096, 110"
youth organization workers,"096, 159, 195"
youth organization worker,"096, 159, 195"
vocational education teachers,097
vocational education teacher,097
flight instructors,"097, 196"
flight instructor,"097, 196"
adult education workers,099
adult education worker,099
automobile driving instructors,099
automobile driving instructor,099
nannies,099
nannie,099
school administrators,099
school administrator,099
teacher's aides,"099, 249"
teacher's aide,"099, 249"
child monitors,"099, 301"
child monitor,"099, 301"
school media specialists,099–100
school media specialist,099–100
public librarians,100
public librarian,100
school librarians,100
school librarian,100
special librarians,100
special librarian,100
museum workers,"100, 102, 353"
museum worker,"100, 102, 353"
armed services careers,"101, 166, 235, 378, 620, 623, 639, 829, 911–912"
armed services career,"101, 166, 235, 378, 620, 623, 639, 829, 911–912"
museum curators,102
museum curator,102
internal revenue service workers,"110, 160, 168, 188"
internal revenue service worker,"110, 160, 168, 188"
lawyers,110–111
lawyer,110–111
judges,111
judge,111
paralegal aides,119
paralegal aide,119
title examiners,119
title examiner,119
religious vocations,120
religious vocation,120
advertising copywriters,131
advertising copywriter,131
fiction writers,131
fiction writer,131
scriptwriters,131
scriptwriter,131
technical writers,131
technical writer,131
journalists,131–132
journalist,131–132
book editors,132
book editor,132
copy editors,132
copy editor,132
magazine editors,132
magazine editor,132
newspaper editors,132
newspaper editor,132
translators and interpreters,137
translators and interpreter,137
art directors,141
art director,141
cartoonists,141
cartoonist,141
computer artists,141
computer artist,141
graphic designers,141
graphic designer,141
medical illustrators,141
medical illustrator,141
product managers,141
product manager,141
artists,"141, 144"
artist,"141, 144"
advertising account executives,"141, 164"
advertising account executive,"141, 164"
production managers,"141, 183, 652"
production manager,"141, 183, 652"
production designers,"141–142, 333, 962"
production designer,"141–142, 333, 962"
floral designers,142
floral designer,142
industrial designers,142
industrial designer,142
interior designers,142
interior designer,142
textile designers,142
textile designer,142
camera operators,143
camera operator,143
photographers,143
photographer,143
actors,150
actor,150
directors,"150, 159"
director,"150, 159"
dancers,151
dancer,151
composers,152
composer,152
music teachers,152
music teacher,152
musicians,152
musician,152
singers,152
singer,152
music video producers,"152, 187"
music video producer,"152, 187"
athletic coaches,153
athletic coache,153
athletic trainers,153
athletic trainer,153
fitness instructors,153
fitness instructor,153
professional athletes,153
professional athlete,153
sports instructors,153
sports instructor,153
swimming instructors,153
swimming instructor,153
announcers,159
announcer,159
radio and television newscasters,159
radio and television newscaster,159
producers,"159, 187, 962"
producer,"159, 187, 962"
pet care workers,"159, 410, 418"
pet care worker,"159, 410, 418"
equestrian workers,"159, 410, 418–419"
equestrian worker,"159, 410, 418–419"
﻿accountants,160
﻿accountant,160
auditors,160
auditor,160
consumer credit counselors,"160, 205, 241, 249"
consumer credit counselor,"160, 205, 241, 249"
management information systems (mis) professionals,"161, 169"
management information systems (mis) professional,"161, 169"
management consultant analysts,"161, 189, 199"
management consultant analyst,"161, 189, 199"
media buyers,162
media buyer,162
purchasing agents,162
purchasing agent,162
retail buyers,162
retail buyer,162
import and export workers,"162–163, 184–185"
import and export worker,"162–163, 184–185"
distribution managers,163
distribution manager,163
sales managers,163
sales manager,163
trade show managers,163
trade show manager,163
marketing directors,"163, 189"
marketing director,"163, 189"
advertising managers,164
advertising manager,164
public relations managers,165
public relations manager,165
public relations workers,165
public relations worker,165
compensation specialists,166
compensation specialist,166
employee benefits managers,166
employee benefits manager,166
employment counselors,166
employment counselor,166
executive search recruiters,166
executive search recruiter,166
labor relations specialists,166
labor relations specialist,166
personnel administrators,166
personnel administrator,166
personnel clerks,166
personnel clerk,166
interviewing clerks,"166, 205"
interviewing clerk,"166, 205"
robotics technicians,"166, 606, 609, 638"
robotics technician,"166, 606, 609, 638"
customs workers,168
customs worker,168
government inspectors and examiners,168
government inspectors and examiner,168
credit officials,"168, 186"
credit official,"168, 186"
federal government workers,"168, 188, 375"
federal government worker,"168, 188, 375"
claim examiners,"168, 241"
claim examiner,"168, 241"
administrative assistants,169
administrative assistant,169
data processing managers,169
data processing manager,169
divorce mediators,169
divorce mediator,169
estimators,169
estimator,169
park rangers,169
park ranger,169
underwriters,"169, 186"
underwriter,"169, 186"
building inspectors,182
building inspector,182
construction supervisors,182
construction supervisor,182
heavy construction contractors,182
heavy construction contractor,182
highway contractors,182
highway contractor,182
highway inspectors,182
highway inspector,182
production supervisors,"183, 529, 539, 559, 653, 699"
production supervisor,"183, 529, 539, 559, 653, 699"
airport managers,184
airport manager,184
cable television engineers,184
cable television engineer,184
traffic managers,184
traffic manager,184
truck terminal managers,184
truck terminal manager,184
computer database managers,185
computer database manager,185
small business owners,185
small business owner,185
store managers,185
store manager,185
bank officers,186
bank officer,186
controllers,186
controller,186
office managers,186
office manager,186
property/facilities managers,186
property/facilities manager,186
casino workers,187
casino worker,187
convention specialists,187
convention specialist,187
cruise directors,187
cruise director,187
food and beverage managers,187
food and beverage manager,187
health care administrators,187
health care administrator,187
hospital administrators,187
hospital administrator,187
hotel executive housekeepers,187
hotel executive housekeeper,187
hotel managers,187
hotel manager,187
restaurant managers,187
restaurant manager,187
stadium managers,187
stadium manager,187
theater managers,187
theater manager,187
union business agents,187
union business agent,187
caterers,"187, 319"
caterer,"187, 319"
home caterers,"187, 319"
home caterer,"187, 319"
funeral directors,"187, 338"
funeral director,"187, 338"
city managers,188
city manager,188
foreign service workers,188
foreign service worker,188
postal service workers,"188, 230, 243"
postal service worker,"188, 230, 243"
general managers,189
general manager,189
home security consultants,189
home security consultant,189
real estate developers,189
real estate developer,189
appraisers,191
appraiser,191
literary and theatrical agents,191
literary and theatrical agent,191
real estate appraisers,191
real estate appraiser,191
air traffic controllers,193
air traffic controller,193
ground radio operators and teletypists,193
ground radio operators and teletypist,193
merchant marine radio officers,193
merchant marine radio officer,193
broadcast technicians,"194, 962"
broadcast technician,"194, 962"
sound technicians,"194, 962"
sound technician,"194, 962"
aids counselors,195
aids counselor,195
art and music therapists,195
art and music therapist,195
geriatric social workers,195
geriatric social worker,195
marriage and family counselors,195
marriage and family counselor,195
parole officers,195
parole officer,195
probation officers,195
probation officer,195
social workers,195
social worker,195
airplane pilots,196
airplane pilot,196
merchant marine captains,197
merchant marine captain,197
merchant marine engineers and chief engineers,197
merchant marine engineers and chief engineer,197
merchant marine pursers,197
merchant marine purser,197
railroad conductors,"198, 910"
railroad conductor,"198, 910"
outplacement consultants,199
outplacement consultant,199
parking analysts,199
parking analyst,199
photo researchers,199
photo researcher,199
resume writers,199
resume writer,199
urban and regional planners,199
urban and regional planner,199
jewelers,"199, 700, 770"
jeweler,"199, 700, 770"
dental and medical secretaries,201
dental and medical secretarie,201
legal secretaries,201
legal secretarie,201
secretaries,201
secretarie,201
shorthand reporters,202
shorthand reporter,202
data entry keyers,203
data entry keyer,203
keypunch operators,203
keypunch operator,203
office clerks,"203, 209"
office clerk,"203, 209"
word processors,"203, 209, 213, 616"
word processor,"203, 209, 213, 616"
bank clerks,"203, 209–210, 214–217, 219, 249"
bank clerk,"203, 209–210, 214–217, 219, 249"
admitting clerks,205
admitting clerk,205
file clerks,206
file clerk,206
tape librarians,206
tape librarian,206
business machine operators,"207–208, 210, 215–217"
business machine operator,"207–208, 210, 215–217"
correspondence clerks,209
correspondence clerk,209
mail clerks,209
mail clerk,209
meter readers,209
meter reader,209
proofreaders,209
proofreader,209
stock clerks,"209, 219, 222, 299"
stock clerk,"209, 219, 222, 299"
bookkeepers,"210, 216"
bookkeeper,"210, 216"
bank tellers,211
bank teller,211
cashiers,211
cashier,211
hospitality cashiers,211
hospitality cashier,211
railroad clerks,"211, 221–222"
railroad clerk,"211, 221–222"
supermarket workers,"211, 290, 299, 316, 920"
supermarket worker,"211, 290, 299, 316, 920"
stadium workers,"211, 291, 311, 344, 372"
stadium worker,"211, 291, 311, 344, 372"
computer operators,213
computer operator,213
meeting planners,215
meeting planner,215
payroll clerks,215
payroll clerk,215
statistical clerks,215–216
statistical clerk,215–216
brokerage clerks,219
brokerage clerk,219
tax preparers,219
tax preparer,219
expediters,221–222
expediter,221–222
shipping and receiving clerks,222
shipping and receiving clerk,222
warehouse workers,"222, 921–922, 929"
warehouse worker,"222, 921–922, 929"
telephone operators,235
telephone operator,235
receptionists,237
receptionist,237
airline reservations agents,238
airline reservations agent,238
airline ticket agents,238
airline ticket agent,238
hotel desk clerks,238
hotel desk clerk,238
mail service workers,239
mail service worker,239
messenger service workers,239
messenger service worker,239
telephone service representatives,239
telephone service representative,239
electric power service workers,"239, 729, 821"
electric power service worker,"239, 729, 821"
claim adjusters,241
claim adjuster,241
credit collectors,241
credit collector,241
court clerks,243
court clerk,243
ward clerks,245
ward clerk,245
truck and bus dispatchers,"249, 913"
truck and bus dispatcher,"249, 913"
insurance agents and brokers,250
insurance agents and broker,250
real estate sales workers and brokers,250
real estate sales workers and broker,250
securities brokers,251
securities broker,251
travel agents,252
travel agent,252
"travel agents, corporate",252
"travel agents, corporat",252
"travel agents, incentive",252
"travel agents, incentiv",252
telecommunications specialists,253
telecommunications specialist,253
telemarketing specialists,253
telemarketing specialist,253
direct market brokers,259
direct market broker,259
media time sales workers,259
media time sales worker,259
food brokers,260
food broker,260
forest products technicians,"260, 560–561, 563–564, 569"
forest products technician,"260, 560–561, 563–564, 569"
manufacturers' sales workers,"260–262, 269–277, 279"
manufacturers' sales worker,"260–262, 269–277, 279"
wholesale sales workers,"260–262, 269–277, 279"
wholesale sales worker,"260–262, 269–277, 279"
retail store sales workers,"260–262, 270, 277, 279, 290"
retail store sales worker,"260–262, 270, 277, 279, 290"
pharmaceutical detail representatives,262
pharmaceutical detail representative,262
agricultural supply sales workers,272
agricultural supply sales worker,272
nursery workers,"272, 405"
nursery worker,"272, 405"
auto sales workers,273
auto sales worker,273
car rental agents,"273, 295"
car rental agent,"273, 295"
construction equipment dealers,274
construction equipment dealer,274
door-to-door sales workers,"279, 291–292, 299"
door-to-door sales worker,"279, 291–292, 299"
auto parts counter workers,"279, 620"
auto parts counter worker,"279, 620"
direct sales workers,291
direct sales worker,291
route delivery workers,292
