fn,clause
Indobit-A-NYT1983 - April 1 - June 30-202.txt,
Indobit-A-NYT1984_1001-1500-430.txt, believed to be one of the last of the full-blooded Delaware Indians
Indobit-A-NYT1987 - April 1 - June 30-360.txt," the cantor of Temple Emanuel in New Hyde Park, L.I., for 35 years"
Indobit-A-NYT1981 - Oct 1 - Dec 31-61.txt, a leading figure in the early days of contract bridge
Indobit-A-NYT1982_1-500-149.txt, a Maine humorist best known for his ''Bert and I'' records
Indobit-A-NYT1982_1-500-218.txt, whose charitable work on Staten Island and the Lower East Side spanned 30 years
Indobit-A-NYT1981 - Oct 1 - Dec 31-95.txt," headmaster emeritus of the Malcolm Gordon School in Garrison, N.Y."
Indobit-A-NYT1982_1001-1500-431.txt, the National League's most valuable player in 1940
Indobit-A-NYT1983 - April 1 - June 30-59.txt, who was active for many years with the Visiting Nurse Service and other charitable organizations in New York City
Indobit-A-NYT1984_1-500-282.txt, who led South Carolina's fight against school desegregation
Indobit-A-NYT1983 - April 1 - June 30-4.txt, the doorman at Henri Bendel's for more than 70 years
Indobit-A-NYT1980_1-500-28.txt,
Indobit-A-NYT1981 - Jan 1 - March 31-449.txt, who Federal authorities said was the first person ever convicted of heading an organized-crime family
Indobit-A-NYT1986_1-500-487.txt, New York's first citywide sheriff
Indobit-A-NYT1986_1-500-284.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-210.txt, education and program specialist of the Federal Department of Education
Indobit-A-NYT1983 - Oct 1 - Dec 31-347.txt," whose research laid the groundwork for the classification of immunoglobulins, keys to the human body's defense against disease"
Indobit-A-NYT1984_501-1000-405.txt, organizer of the Free French intelligence network in German-occupied France and one of France's most decorated heroes of the Resistance
Indobit-A-NYT1986_1001-1500-494.txt, a prominent labor and civil rights activist in the 1940's who later helped organize business people against the Vietnam War
Indobit-A-NYT1985 - April 1 - June 30-303.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-350.txt, who survived the sinking of the liner Titanic in 1912
Indobit-A-NYT1986_1001-1500-296.txt, a specialist in health protection for workers
Indobit-A-NYT1987 - April 1 - June 30-176.txt, believed to have been on death row longer than any other prisoner in the world
Indobit-A-NYT1985 - July 1 - Sep 30-24.txt, a labor-relations arbitrator and former officer of the Patrolmen's Benevolent Association
Indobit-A-NYT1984_501-1000-104.txt,
Indobit-A-NYT1984_1-500-334.txt, a retired Foreign Service officer
Indobit-A-NYT1985 - Jan 1 - March 31-243.txt, a State Department official in the Eisenhower Administration
Indobit-A-NYT1981 - Jan 1 - March 31-116.txt, noted for his leadership in veterans' affairs and the nation's space program
Indobit-A-NYT1984_501-1000-210.txt, a member of the Polish Parliament who declined to vote for martial law in 1981
Indobit-A-NYT1982_1-500-310.txt, an American Jesuit and an authority on Semitic studies
Indobit-A-NYT1986_1-500-376.txt, the youngest and last surviving member of the Ritz Brothers comedy team
Indobit-A-NYT1981 - April 1 - June 30-324.txt, who served in the House longer than anyone else and was a powerful proponent of military might
Indobit-A-NYT1984_1001-1500-305.txt," a political analyst, pollster and expert in survey research for the National Security Council at the White House"
Indobit-A-NYT1982_1-500-91.txt, Fla.
Indobit-A-NYT1981 - April 1 - June 30-344.txt, a Washington philanthropist
Indobit-A-NYT1984_1-500-30.txt, the former First Lady of Mexico
Indobit-A-NYT1983 - Jan 1 - March 31-142.txt, who served as a spy behind German lines in World War II
Indobit-A-NYT1983 - Jan 1 - March 31-77.txt, the Communist Party leader of Byelorussia
Indobit-A-NYT1985 - Jan 1 - March 31-3.txt, a peace activist who was arrested during the McCarthy era on charges of failure to register as a foreign agent
Indobit-A-NYT1985 - Oct 1 - Dec 31-240.txt, a public health official in New York City for many years
Indobit-A-NYT1981 - April 1 - June 30-329.txt, The People's World
Indobit-A-NYT1983 - Oct 1 - Dec 31-45.txt, N.J.
Indobit-A-NYT1982_1001-1500-157.txt, who was responsible for bringing the Dodgers from Brooklyn to Los Angeles in 1958
Indobit-A-NYT1986_1001-1500-194.txt, widely regarded as one of the pre-eminent state jurists of this century
Indobit-A-NYT1980_501-904-29.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-22.txt, retired head of the Bureau of Child Guidance of the New York City Board of Education
Indobit-A-NYT1985 - July 1 - Sep 30-69.txt, the longtime spiritual leader of the Stephen Wise Free Synagogue and a community activist on the West Side of Manhattan
Indobit-A-NYT1984_1-500-312.txt, Arkansas
Indobit-A-NYT1982_1-500-248.txt, a philanthropist who donated more than $18 million to cultural institutions in the Middle West
Indobit-A-NYT1982_1-500-144.txt, for whom the Berlin Wall's Checkpoint Charlie is named
Indobit-A-NYT1984_501-1000-264.txt, a lexicographer
Indobit-A-NYT1984_1001-1500-458.txt, the leader of the Faith Assembly
Indobit-A-NYT1986_1501-1568-13.txt, who invented methods of identifying blood disorders that led to improved treatment of anemia
Indobit-A-NYT1985 - July 1 - Sep 30-381.txt, a talent agent
Indobit-A-NYT1983 - April 1 - June 30-255.txt,
Indobit-A-NYT1984_501-1000-202.txt,
Indobit-A-NYT1982_1001-1500-195.txt,
Indobit-A-NYT1986_1-500-320.txt, Republican of Norwalk
Indobit-A-NYT1986_1-500-262.txt," the first fighter to go the 15-round distance with Joe Louis, the former world heavyweight champion"
Indobit-A-NYT1981 - April 1 - June 30-423.txt," one of England's best-known novelists, who also wrote plays, biographies and criticism"
Indobit-A-NYT1982_501-1000-143.txt,
Indobit-A-NYT1983 - April 1 - June 30-228.txt,
Indobit-A-NYT1985 - April 1 - June 30-135.txt, scion of a publishing dynasty who transformed the once-tiny Times-Mirror Press into one of the largest telephone book printers in the West
Indobit-A-NYT1983 - Jan 1 - March 31-72.txt, who assumed office in 1965 after the ouster of Nikita S. Khrushchev and was himself dismissed 12 years later
Indobit-A-NYT1980_1-500-37.txt, a collection of feuding baronies
Indobit-A-NYT1983 - July 1 - Sep 30-220.txt,
Indobit-A-NYT1982_1501-1630-89.txt, a New York pediatric allergist
Indobit-A-NYT1986_1-500-112.txt, retired
Indobit-A-NYT1980_1-500-293.txt," who had long been active in community, educational and civic affairs in Montclair, N.J."
Indobit-A-NYT1987 - Jan 1 - March 31-287.txt, who led groups seeking rights for homosexuals
Indobit-A-NYT1983 - Oct 1 - Dec 31-127.txt, who invented the Popsicle on an extraordinarily cold night in San Francisco in 1905
Indobit-A-NYT1980_501-904-65.txt, who was ousted in a military coup six years ago
Indobit-A-NYT1985 - April 1 - June 30-101.txt, who on April 14 became the world's fifth recipient of a permanent artificial heart
Indobit-A-NYT1985 - Oct 1 - Dec 31-145.txt,
Indobit-A-NYT1983 - Jan 1 - March 31-109.txt,
