fn,clause
Indobit-A-NYT1987 - April 1 - June 30-309.txt," the nation's oldest war veteran, a man described by his daughter as a straight-laced person who never smoked or drank"
Indobit-A-NYT1985 - Jan 1 - March 31-75.txt, a civic leader who headed revitalization of the Adler Planetarium in Chicago
Indobit-A-NYT1985 - April 1 - June 30-60.txt, a leading advocate of social welfare and mental health programs in New York for more than half a century
Indobit-A-NYT1983 - Jan 1 - March 31-234.txt, whose work in psychopharmacology helped revolutionize the treatment of mental illnesses
Indobit-A-NYT1984_501-1000-261.txt,
Indobit-A-NYT1980_1-500-95.txt, a former New York City Councilman at Large from Brooklyn
Indobit-A-NYT1982_1-500-214.txt, a prominent figure in the educational system that bears his mother's name
Indobit-A-NYT1985 - Jan 1 - March 31-69.txt, who was once the ranking Republican on the House Ways and Means Committee
Indobit-A-NYT1986_501-1000-259.txt, who won the Nobel Prize in Physiology or Medicine in 1937 for his isolation of vitamin C
Indobit-A-NYT1985 - July 1 - Sep 30-375.txt, the British naval officer who was hailed as a hero after he stealthily guided the frigate Amethyst down the Yangtze River out of a Chinese blockade in 1949
Indobit-A-NYT1983 - July 1 - Sep 30-39.txt, who retired in May as the senior mediator in the New York City office of the State Mediation Board
Indobit-A-NYT1981 - April 1 - June 30-255.txt, a former Philadelphia Eagle linebacker
Indobit-A-NYT1981 - Oct 1 - Dec 31-366.txt, a ceramic muralist
Indobit-A-NYT1986_501-1000-416.txt, who had a long career in public relations in broadcasting
Indobit-A-NYT1981 - July 1 - Sep 30-102.txt, the Soviet commandant in Berlin during the 1948 blockade
Indobit-A-NYT1986_1-500-238.txt, a toy manufacturer who popularized the game bingo
Indobit-A-NYT1981 - April 1 - June 30-27.txt, one of Canada's most decorated World War II pilots
Indobit-A-NYT1986_1001-1500-32.txt, a lifelong advocate of child welfare
Indobit-A-NYT1984_501-1000-335.txt,
Indobit-A-NYT1984_1-500-331.txt, a pioneer in labor education
Indobit-A-NYT1987 - Jan 1 - March 31-303.txt,
Indobit-A-NYT1981 - Jan 1 - March 31-118.txt,
Indobit-A-NYT1984_1-500-176.txt,
Indobit-A-NYT1982_1001-1500-102.txt, who had been one of the most powerful men in the nation's financial system
Indobit-A-NYT1986_501-1000-251.txt,
Indobit-A-NYT1983 - April 1 - June 30-260.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-381.txt, the last surviving descendant of Lincoln
Indobit-A-NYT1984_1-500-213.txt, a prominent bassoonist for more than 50 years
Indobit-A-NYT1981 - Jan 1 - March 31-348.txt,
Indobit-A-NYT1986_501-1000-224.txt, a former star receiver for the Washington Redskins who said in August that he had AIDS
Indobit-A-NYT1986_1001-1500-480.txt,
Indobit-A-NYT1986_1001-1500-38.txt, a fiery veteran of the trade union movement who became a Labor peer
Indobit-A-NYT1986_1501-1568-4.txt, who specialized in scientific photography for Life and Scientific American magazines
Indobit-A-NYT1986_501-1000-24.txt, the senior member of the state Public Service Commission in Albany
Indobit-A-NYT1984_1-500-325.txt,
Indobit-A-NYT1982_501-1000-213.txt,
Indobit-A-NYT1984_1-500-441.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-269.txt, a former assistant commandant of the Marine Corps
Indobit-A-NYT1981 - April 1 - June 30-363.txt,
Indobit-A-NYT1987 - Jan 1 - March 31-260.txt, a retired union official and a former member of the New York City Planning Commission
Indobit-A-NYT1980_1-500-210.txt, the well-known Indian potter
Indobit-A-NYT1986_1001-1500-329.txt, leader of the Episcopal Diocese of Los Angeles since 1974
Indobit-A-NYT1983 - Jan 1 - March 31-126.txt, who won an Academy Award in 1937 for his screenplay of ''A Star Is Born
Indobit-A-NYT1986_1001-1500-333.txt, a New York builder and philanthropist
Indobit-A-NYT1981 - Jan 1 - March 31-84.txt, who served a half-century in the House of Representatives
Indobit-A-NYT1981 - April 1 - June 30-237.txt," who was instrumental in developing plans for the decentralization of school boards in New York City, especially in the Ocean Hill-Brownsville section of Brooklyn"
Indobit-A-NYT1983 - Oct 1 - Dec 31-88.txt, France's leading conservative political thinker
Indobit-A-NYT1983 - Oct 1 - Dec 31-54.txt, whose work helped bring water to a thirsty and growing West in his 24 years in Congress
Indobit-A-NYT1982_1001-1500-88.txt, known as the Lion of Kashmir
Indobit-A-NYT1980_1-500-26.txt," retired, a survivor of the Bataan Death March in World War II"
Indobit-A-NYT1986_1-500-97.txt, the Republican leader of the Bronx since 1970
Indobit-A-NYT1980_1-500-219.txt, a four-term New York State State Senator from Geneva
Indobit-A-NYT1982_501-1000-78.txt, who served 16 years in Congress and was the ranking Republican on the House Ways and Means Committee
Indobit-A-NYT1980_501-904-222.txt, who won the Indianapolis 500 auto race in 1925
Indobit-A-NYT1984_501-1000-386.txt, who served Episcopal parishes in Westchester County and on Long Island
Indobit-A-NYT1981 - July 1 - Sep 30-88.txt, a former national official of the International Brotherhood of Teamsters
Indobit-A-NYT1983 - Jan 1 - March 31-83.txt, who contributed in the early part of the century to the development of the modern stethoscope and the bloodpressure monitoring device
Indobit-A-NYT1980_501-904-360.txt, who presided over Nazi Germany's unconditional surrender in World II as Adolf Hitler's personally appointed successor
Indobit-A-NYT1986_1-500-166.txt, the dress manufacturer who made it chic for rich women to wear inexpensive clothes in the 1940's
Indobit-A-NYT1980_501-904-25.txt, retired leader of the Millinery Center Synagogue in Manhattan
Indobit-A-NYT1983 - Jan 1 - March 31-261.txt, who ruled the Vietnam War unconstitutional in 1970
Indobit-A-NYT1981 - Jan 1 - March 31-328.txt, an expert in languages
Indobit-A-NYT1981 - April 1 - June 30-382.txt, the first researcher to publish scientific evidence of successful human fertilization in the laboratory
Indobit-A-NYT1986_1-500-303.txt," who wrote hundreds of short stories, essays and poems, all in Armenian"
Indobit-A-NYT1984_1-500-3.txt, who served 10 terms in Congress and was regarded by colleagues as a champion of civil rights
Indobit-A-NYT1980_501-904-346.txt, who received Academy Award nominations for two screenplays
Indobit-A-NYT1982_501-1000-362.txt," a member of a New York family of philanthropists and a benefactor in the fields of zoology, health care and the arts"
Indobit-A-NYT1981 - July 1 - Sep 30-133.txt, an oil magnate who advised Presidents and organized the nation's first comprehensive petroleum policy 40 years ago
Indobit-A-NYT1984_501-1000-363.txt, who was serving a five-year sentence in Arizona on conviction of racketeering in Southern California
Indobit-A-NYT1982_1001-1500-200.txt, a longtime Communist Party leader in California who was once ordered deported to the Soviet Union
Indobit-A-NYT1985 - July 1 - Sep 30-313.txt, an American Communist Party activist who could trace his lineage to the days of the Mayflower
Indobit-A-NYT1982_501-1000-42.txt, the first American Girl Scout
Indobit-A-NYT1982_501-1000-43.txt, a five-time Olympic gold medalist in the 1920's and the winner of 18 American championships in distance running
Indobit-A-NYT1986_501-1000-485.txt, who won a gold medal in swimming at the 1976 Olympic Games
Indobit-A-NYT1981 - Jan 1 - March 31-299.txt, a bacteriologist who developed the Lancefield classification system of streptococcal bacteria that scientists use throughout the world and whose basic research helped control streptococcal infections
Indobit-A-NYT1984_1001-1500-212.txt, one of the most admired French tenors of this century
Indobit-A-NYT1985 - Oct 1 - Dec 31-112.txt,
Indobit-A-NYT1984_1001-1500-317.txt, a conservationist and sportswoman
Indobit-A-NYT1984_1001-1500-296.txt, a former headmaster of the Newark Academy
Indobit-A-NYT1984_1-500-143.txt,
Indobit-A-NYT1984_1-500-70.txt,
Indobit-A-NYT1980_501-904-330.txt, a black activist and inventor
Indobit-A-NYT1981 - July 1 - Sep 30-357.txt,
Indobit-A-NYT1987 - April 1 - June 30-177.txt, a founding father of Nigerian nationalism
Indobit-A-NYT1982_1001-1500-229.txt, a pioneer in the early detection and treatment of childhood diseases
Indobit-A-NYT1984_1-500-381.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-127.txt,
Indobit-A-NYT1986_1001-1500-103.txt, leader of the outlawed Moslem Brotherhood
Indobit-A-NYT1985 - July 1 - Sep 30-246.txt, a two-term Democratic State Senator from Harlem in the early 1970's
Indobit-A-NYT1981 - Oct 1 - Dec 31-364.txt," a former headmaster of the Westminster School in Simsbury, Conn."
Indobit-A-NYT1982_1001-1500-345.txt, a World War II hero at Guadalcanal
Indobit-A-NYT1982_501-1000-41.txt,
Indobit-A-NYT1980_1-500-98.txt, whose mail-order seed catalogues have been a harbinger of spring for American gardeners for years
Indobit-A-NYT1984_1001-1500-479.txt, who managed the Savoy Ballroom in Harlem for 32 years
Indobit-A-NYT1981 - Jan 1 - March 31-171.txt,
Indobit-A-NYT1981 - Jan 1 - March 31-372.txt, retired primate of the Orthodox Church in America
Indobit-A-NYT1985 - Oct 1 - Dec 31-394.txt, a retired official of the New York State Public Service Commission
Indobit-A-NYT1981 - Oct 1 - Dec 31-103.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-338.txt, a housing expert and former official of the National Urban League
Indobit-A-NYT1982_1-500-195.txt, a worker in charitable a nd philanthropic causes
Indobit-A-NYT1984_1501-1563-30.txt, a New Deal activist who later championed educational change in Kentucky
Indobit-A-NYT1982_1501-1630-76.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-264.txt, a pioneer in the hormonal treatment of advanced breast cancer
Indobit-A-NYT1981 - Oct 1 - Dec 31-201.txt, a scientific researcher whose battle with cancer became the subject of a Public Broadcasting Service televison program
Indobit-A-NYT1987 - Jan 1 - March 31-81.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-206.txt,
Indobit-A-NYT1984_1501-1563-33.txt, a lifelong advocate of increased care and rights for the elderly
Indobit-A-NYT1983 - Jan 1 - March 31-368.txt, the reputed head of the Kansas City crime family
Indobit-A-NYT1985 - Jan 1 - March 31-59.txt, an industrial realestate broker
Indobit-A-NYT1984_1-500-128.txt,
Indobit-A-NYT1984_1001-1500-360.txt, a philanthropist who donated millions to the San Diego Zoo and to aid the blind and elderly
Indobit-A-NYT1986_1001-1500-378.txt, the former Buffalo Bills fullback
Indobit-A-NYT1982_1501-1630-42.txt, who had a corporate law practice in Manhattan for 50 years and was active in Jewish religious affairs
Indobit-A-NYT1984_501-1000-113.txt,
Indobit-A-NYT1984_1-500-121.txt,
Indobit-A-NYT1987 - April 1 - June 30-195.txt, the legendary Hollywood beauty who rose to international fame in the 1940's and 1950's
Indobit-A-NYT1981 - April 1 - June 30-62.txt," who specialized in corporate, matrimonial and estate law"
Indobit-A-NYT1982_501-1000-169.txt," U.S.N., retired"
Indobit-A-NYT1982_1001-1500-314.txt," a descendant of early settlers of New Canaan, Conn., and a leader in the American program for helping European war orphans during World War I"
Indobit-A-NYT1982_501-1000-130.txt, an activist for women's equality since 1917
Indobit-A-NYT1981 - Oct 1 - Dec 31-158.txt,
Indobit-A-NYT1986_501-1000-63.txt, who was New Jersey's first state medical examiner
Indobit-A-NYT1983 - July 1 - Sep 30-9.txt, the forward-looking inventor best known as the father of the geodesic dome
Indobit-A-NYT1982_501-1000-351.txt, a former New Jersey State Senator and Assemblyman
Indobit-A-NYT1981 - July 1 - Sep 30-217.txt, who was active in charities and organizations concerned with the physically handicapped in New York
Indobit-A-NYT1982_1001-1500-187.txt, retired Postmaster of Manhattan
Indobit-A-NYT1983 - April 1 - June 30-269.txt, a French feminist who was the oldest member of the European Parliament
Indobit-A-NYT1987 - Jan 1 - March 31-198.txt, a Presidential counselor and speechwriter who held key positions in the Eisenhower and Nixon Administrations
Indobit-A-NYT1986_1001-1500-64.txt, the last heir to the Krupp industrial fortune
Indobit-A-NYT1982_1-500-441.txt, a retired labor-management expert
Indobit-A-NYT1984_1001-1500-335.txt, one of the South's most influential black clergymen for decades and the father of the slain civil rights leader who bore his name
Indobit-A-NYT1985 - Oct 1 - Dec 31-104.txt, matriarch of the Royal Hanneford Circus
Indobit-A-NYT1984_1-500-273.txt, a retired New York radiologist
Indobit-A-NYT1985 - July 1 - Sep 30-358.txt," who won more than $600,000 during his career on the PGA Tour and continued to play professional golf on the senior circuit after discovering he had terminal cancer"
Indobit-A-NYT1985 - April 1 - June 30-167.txt, a leading figure in theological publishing for three decades
Indobit-A-NYT1983 - July 1 - Sep 30-94.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-395.txt, the first golfer to win the Masters tournament three times and a member of the Professional Golfers Association and World Golf halls of fame
Indobit-A-NYT1982_501-1000-31.txt, the Archbishop of Chicago and spiritual leader of about 2.5 million Roman Catholics in the metropolitan area
Indobit-A-NYT1987 - April 1 - June 30-231.txt, the tribal elder and ''spiritual leader'' of the Snoqualmie Indians
Indobit-A-NYT1987 - April 1 - June 30-378.txt, India's foremost ornithologist and wildlife conservationist
Indobit-A-NYT1984_1001-1500-111.txt,
Indobit-A-NYT1981 - Jan 1 - March 31-39.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-354.txt, the ferve ntly conservative pu blisher of The Manchester Union Leader and The New Hampshire Sunday News
Indobit-A-NYT1985 - July 1 - Sep 30-343.txt, a New York State winemaker who proved to skeptical colleagues that Europe's finest vinifera grapes could thrive in the rigorous Northeast climate
Indobit-A-NYT1980_1-500-76.txt, a specialist in the treatment of diabetes in both adults and children
Indobit-A-NYT1981 - April 1 - June 30-286.txt," a plant geneticist who was a leader in the Green Revolution, which sought to fight famine in poor regions of the world by developing high-yielding ''miracle grains"
Indobit-A-NYT1984_1-500-215.txt, who commanded the Antiaircraft Defense Corps of the Soviet Union for 12 years until his retirement in 1978
Indobit-A-NYT1981 - Oct 1 - Dec 31-205.txt, a newspaperwoman
Indobit-A-NYT1981 - April 1 - June 30-213.txt, the oldest surviving relative of Czar Nicholas II
Indobit-A-NYT1984_1001-1500-119.txt, a former speaker of the Maryland House of Delegates and a member of a famous political family
Indobit-A-NYT1981 - Oct 1 - Dec 31-297.txt," a nurse who had been called the happiest woman in America in Gail Sheehy's new book, ''Pathfinders"
Indobit-A-NYT1982_501-1000-118.txt, a political leader credited with influencing the selection of Pennsylvania Republican gubernatorial candidates from 1934 to 1966
Indobit-A-NYT1987 - April 1 - June 30-118.txt, a leading theoretician of the Cuban Revolution who led Cuba's prerevolutionary Communist Party
Indobit-A-NYT1982_1501-1630-105.txt, a former astronaut from Colorado who was elected to the House of Representatives in November while suffering from cancer
Indobit-A-NYT1981 - Jan 1 - March 31-338.txt,
Indobit-A-NYT1981 - April 1 - June 30-426.txt, a tennis official for more than 50 years and an authority on the rules of the game
Indobit-A-NYT1981 - April 1 - June 30-259.txt, a developer of residential communities on Florida's rich Atlantic Coast
Indobit-A-NYT1987 - Jan 1 - March 31-281.txt, the Speaker of the state's House of Representatives
Indobit-A-NYT1986_501-1000-5.txt, an endocrinologist who specialized in transsexualism and geriatric medicine
Indobit-A-NYT1983 - Oct 1 - Dec 31-157.txt, a gambling pioneer who turned a tiny club on the state border into a multimillion-dollar casino empire
Indobit-A-NYT1980_501-904-225.txt, who helped design and build the Chesapeake Bay Bridge and San Francisco-Oakland Bay Bridge as well as the Apollo moon complex at Cape Canaveral
Indobit-A-NYT1985 - April 1 - June 30-162.txt," a financier, sportsman and philanthropist"
Indobit-A-NYT1980_501-904-3.txt, who governed Uruguay for 80 days under close military supervision four years ago
Indobit-A-NYT1982_1001-1500-96.txt,
Indobit-A-NYT1986_501-1000-191.txt, who in 1949 invented the whirlpool bath that made his name a household word
Indobit-A-NYT1984_1001-1500-134.txt," a civic leader in Newport, R.I."
Indobit-A-NYT1982_1501-1630-51.txt, an Iranian oil official under the Shah
Indobit-A-NYT1986_1501-1568-28.txt, who helped develop Betty Crocker and championed the ideals of ''good housekeeping
Indobit-A-NYT1984_1-500-95.txt, a dress manufacturer and philanthropist in the field of medical research
Indobit-A-NYT1981 - Jan 1 - March 31-212.txt," in Raleigh, N.C."
Indobit-A-NYT1982_1501-1630-69.txt,
Indobit-A-NYT1984_1001-1500-370.txt, who led a drive to lift the ban on birth control prescriptions in New York City hospitals in the 1950's
Indobit-A-NYT1985 - Jan 1 - March 31-341.txt, who broke a 69- year silence to say the wrong man was convicted of a notorious killing and hanged by a lynch mob that led to a resurgence of the Ku Klux Klan
Indobit-A-NYT1983 - April 1 - June 30-308.txt, who won two Academy Awards for cinematography in ''From Here to Eternity'' and ''Bonnie and Clyde
Indobit-A-NYT1981 - Jan 1 - March 31-52.txt, a specialist in the placement and supervision of professional and practical nurses
Indobit-A-NYT1984_1-500-467.txt, an amateur orchidist who developed 32 varieties of orchids
Indobit-A-NYT1987 - April 1 - June 30-237.txt, a retired Methodist leader who helped AIDS victims
Indobit-A-NYT1986_501-1000-288.txt, who in 1961 became West Germany's first woman to be named a Cabinet member
Indobit-A-NYT1982_501-1000-254.txt, relatives and friends gathered at the small
Indobit-A-NYT1982_1001-1500-263.txt, the international banker
Indobit-A-NYT1983 - Oct 1 - Dec 31-140.txt," for 30 years an associate of the Commonwealth Fund, a Manhattan foundation that supports health programs"
Indobit-A-NYT1982_501-1000-343.txt, one of the world's oldest active writers
Indobit-A-NYT1981 - July 1 - Sep 30-136.txt, heiress to the Guggenheim family copper fortune
Indobit-A-NYT1985 - April 1 - June 30-4.txt, treasurer of the Friars Club and an accountant whose clients included prominent entertainment and business figures
Indobit-A-NYT1980_501-904-142.txt, a prominent Soviet exile
Indobit-A-NYT1985 - April 1 - June 30-102.txt,
Indobit-A-NYT1984_1001-1500-45.txt, a puppeteer who created the original Howdy Doody marionette
Indobit-A-NYT1984_1001-1500-211.txt," who directed star vehicles for Danny Kaye, Virginia Mayo and Sonja Henie during his 30-year career"
Indobit-A-NYT1984_501-1000-402.txt, an inventor credited with perfecting techniques to desalinate ocean water and cool railroad cars
Indobit-A-NYT1981 - Jan 1 - March 31-23.txt, the first black to serve on the California Supreme Court
Indobit-A-NYT1982_1001-1500-227.txt, a retired warden of California's San Quentin Prison who introduced far-reaching humanitarian reforms into what was then the nation's largest penal institution
Indobit-A-NYT1981 - July 1 - Sep 30-309.txt, a leading American archeologist who specialized in the Iron Age in Europe
Indobit-A-NYT1981 - July 1 - Sep 30-374.txt, a union leader in New York City for several decades and a member of city and state education bodies
Indobit-A-NYT1984_1001-1500-426.txt, one of the most respected authors on the Soviet Union and chronicler of the Hapsburgs
Indobit-A-NYT1986_501-1000-329.txt, a founding member of the doo-wop group the Coasters
Indobit-A-NYT1983 - April 1 - June 30-68.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-53.txt, who became identified with his role as the Siamese monarch in ''The King and I'' in a way that few performers ever have been linked with a character
Indobit-A-NYT1984_1-500-382.txt, a retired Foreign Service officer and specialist on Japan and Northeast Asia
Indobit-A-NYT1981 - July 1 - Sep 30-153.txt," Panama's strongman, was killed in the crash of a Panamanian Air Force plane in bad weather over western Panama"
Indobit-A-NYT1984_501-1000-299.txt, a former Republican Assemblyman from White Plains
Indobit-A-NYT1980_501-904-386.txt, former head of an import-export concern in Manhattan
Indobit-A-NYT1983 - April 1 - June 30-150.txt, an Arctic flier and the first Russian to win the title of Hero of the Soviet Union
Indobit-A-NYT1983 - Jan 1 - March 31-38.txt," who headed the National Endowment for the Arts and the National Council on the Arts under the Nixon, Ford and Carter Administrations"
Indobit-A-NYT1984_1-500-168.txt, a member of the defense team in Alger Hiss's perjury trial in 1949
Indobit-A-NYT1986_1001-1500-476.txt, an American who worked for the official New China News Agency for 35 years
Indobit-A-NYT1984_501-1000-161.txt, an active member of the New York Stock Exchange for more than 50 years
Indobit-A-NYT1981 - April 1 - June 30-238.txt, a member of Serge Diaghilev's Ballets Russes from 1916 to 1929
Indobit-A-NYT1981 - Oct 1 - Dec 31-119.txt, a former New York State Assemblyman and state official under three Governors
Indobit-A-NYT1986_1-500-319.txt, who directed marketing and fund-raising activities for Foster Parents Plan for 25 years
Indobit-A-NYT1987 - April 1 - June 30-201.txt, the former head of the lithographers union in New York City
Indobit-A-NYT1984_1501-1563-21.txt," retired, who was decorated for leading his troops in the assault on Iwo Jimain World War II"
Indobit-A-NYT1983 - April 1 - June 30-336.txt, a former Republican Assemblyman from Columbia County
Indobit-A-NYT1986_1001-1500-105.txt,
Indobit-A-NYT1986_1501-1568-38.txt, a leading researcher on advanced breast cancer
Indobit-A-NYT1981 - Oct 1 - Dec 31-226.txt, 78
Indobit-A-NYT1984_1-500-453.txt, whose sore left arm cut short what had promised to be a brilliant pitching career with the Brooklyn Dodgers
Indobit-A-NYT1981 - Oct 1 - Dec 31-2.txt, whose research in human reproduction and sexuality led to the development of the contraceptive pill
Indobit-A-NYT1981 - Jan 1 - March 31-36.txt, who mounted 12 political campaigns over four decades in New Hampshire
Indobit-A-NYT1982_501-1000-127.txt,
Indobit-A-NYT1985 - April 1 - June 30-299.txt, who saw the Small Business Administration through its infancy in the Eisenhower Administration
Indobit-A-NYT1980_501-904-174.txt, one of hockey's most influential and controversial owners
Indobit-A-NYT1981 - April 1 - June 30-268.txt,
Indobit-A-NYT1982_501-1000-6.txt," a real-estate entrepreneur, a former leader in the dress industry and a philanthropist"
Indobit-A-NYT1982_1001-1500-151.txt, a former State Department official who had been responsible for introducing distinguished foreign visitors to New York City's cultural and intellectual community
Indobit-A-NYT1985 - Oct 1 - Dec 31-357.txt, one of America's first female aviators
Indobit-A-NYT1984_1-500-126.txt, a leader in the study of infertility in men
Indobit-A-NYT1983 - Jan 1 - March 31-438.txt, a former New Jersey State Treasurer
Indobit-A-NYT1982_1-500-109.txt," who had practiced medicine for more than 60 years when she was attacked and severely injured by nine teen-agers in Central Park on Feb. 28, 1975"
Indobit-A-NYT1982_501-1000-208.txt,
Indobit-A-NYT1987 - April 1 - June 30-15.txt, a civil rights figure in the 1950's and 1960's
Indobit-A-NYT1985 - July 1 - Sep 30-171.txt, Del.
Indobit-A-NYT1984_501-1000-474.txt, a former member of the Connecticut House of Representatives
Indobit-A-NYT1983 - April 1 - June 30-6.txt,
Indobit-A-NYT1982_1-500-371.txt," who with her husband, Gene, ran Mamma Leone's restaurant on West 48th Street for two decades"
Indobit-A-NYT1981 - April 1 - June 30-427.txt, an electronics and communications expert whose more than 140 inventions in aerial navigation and directionfinding helped guide aircraft the world over
Indobit-A-NYT1987 - Jan 1 - March 31-11.txt, a New Jersey State Senator since 1972
Indobit-A-NYT1985 - July 1 - Sep 30-332.txt,
Indobit-A-NYT1982_501-1000-212.txt, ruler of the desert oil nation since 1975
Indobit-A-NYT1983 - Jan 1 - March 31-389.txt, described as the ''first true love'' of King Edward VIII before he gave up his throne for Wallis Simpson
Indobit-A-NYT1983 - Oct 1 - Dec 31-352.txt, the retired New York Giant running back who had fought an inoperable malignant brain tumor for 16 months
Indobit-A-NYT1985 - Oct 1 - Dec 31-176.txt, the host for more than 25 years at the Stork Club in Manhattan
Indobit-A-NYT1984_501-1000-383.txt," the Santa Claus at Santa Claus, Ind., for more than 50 years"
Indobit-A-NYT1980_501-904-248.txt, who perhaps knew more than anyone about the somewhat arcane world of cookbooks
Indobit-A-NYT1982_501-1000-284.txt," a member of the Mills Brothers, who in more than half a century recorded hits ranging from ''Tiger Rag'' to ''Paper Doll'' and ''Lazy River'' and who are regarded as founders of modern-day black-harmony singing"
Indobit-A-NYT1985 - Oct 1 - Dec 31-170.txt, a prominent member of New York society
Indobit-A-NYT1984_501-1000-489.txt," the uncle of the Princess of Wales, shot himself today at his home"
Indobit-A-NYT1986_501-1000-391.txt, who gave birth to quintuplets 52 years ago and was thrust into the glare of worldwide publicity
Indobit-A-NYT1985 - Oct 1 - Dec 31-115.txt, an organizer for women's suffrage who went on to devote her life to Socialist causes
Indobit-A-NYT1986_1-500-396.txt," a bookmaker convicted in 1951 of running a multimillion-dollar gambling operation with New York City policemen, has committed suicide"
Indobit-A-NYT1985 - April 1 - June 30-185.txt," who through her sponsorship of charity affairs raised more than $1 million for the George Junior Republic, an institution for problem teen-agers in Freeville, N.Y."
Indobit-A-NYT1984_501-1000-152.txt, a former New Jersey State Treasurer
Indobit-A-NYT1983 - Jan 1 - March 31-333.txt,
Indobit-A-NYT1984_1-500-226.txt," a key figure in the Lawrence mill workers' strike of 1912, one of the earliest walkouts in the American labor movement"
Indobit-A-NYT1981 - Jan 1 - March 31-30.txt, a life-long critic of military force whose discovery of heavy hydrogen opened the possibility of thermonuclear warfare
Indobit-A-NYT1983 - Jan 1 - March 31-163.txt, New York City's third deputy comptroller
Indobit-A-NYT1982_1-500-347.txt, a pioneer in the development of clinical training for the clergy
Indobit-A-NYT1984_1001-1500-173.txt, a world authority on vertebrate paleontology
Indobit-A-NYT1987 - Jan 1 - March 31-257.txt, a leading jockey who won the first Breeders' Cup race three years ago
Indobit-A-NYT1987 - April 1 - June 30-163.txt," the father of Carl Lewis, the Olympic gold medalist"
Indobit-A-NYT1986_1001-1500-269.txt," retired, who took the Nazi surrender of Linz, Austria"
Indobit-A-NYT1986_1-500-377.txt,
Indobit-A-NYT1986_1-500-390.txt, widely regarded as West Germany's most successful postwar entrepreneur
Indobit-A-NYT1980_1-500-103.txt, who won an Academy Award for cinematography in 1955 for ''On the Waterfront
Indobit-A-NYT1983 - Oct 1 - Dec 31-126.txt, a former high Treasury Department official who was influential in the development of postwar American monetary policy
Indobit-A-NYT1984_501-1000-333.txt, one of America's pioneers in the campaign against cancer
Indobit-A-NYT1985 - July 1 - Sep 30-179.txt, who pioneered the extraordinarily successful entry of the International Business Machines Corporation into the personal computer field
Indobit-A-NYT1984_1-500-335.txt, a physiologist whose research during World War II helped improve the night flying abilities of pilots
Indobit-A-NYT1984_501-1000-392.txt," who scored a goal in overtime against the Toronto Maple Leafs that gave the New York Rangers their last Stanley Cup championship, in 1940"
Indobit-A-NYT1985 - Oct 1 - Dec 31-398.txt, who pioneered the marketing of frozen potato skins
Indobit-A-NYT1985 - April 1 - June 30-265.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-138.txt, ''the father of the California freeways
Indobit-A-NYT1984_1-500-430.txt, an international planner whose work ranged from communities in Marin County to Kuwait
Indobit-A-NYT1982_501-1000-415.txt, an outstanding breeder of Welsh terriers
Indobit-A-NYT1987 - Jan 1 - March 31-349.txt, who was active in philanthropy
Indobit-A-NYT1986_1-500-187.txt,
Indobit-A-NYT1987 - July 1 - Aug 31-114.txt, a former community volunteer worker
Indobit-A-NYT1987 - April 1 - June 30-359.txt, a retired State Department officer who in the 1950's helped negotiate free trade agreements with Western Europe and Japan
Indobit-A-NYT1984_1-500-75.txt, a shadowy ultrarightist and one of Japan's backstage power-brokers until his trial as a central figure in the multimillion-dollar Lockheed bribery scandal of 1976
Indobit-A-NYT1982_1-500-228.txt, the Rockaway Beach heavyweight who lost a bid for the world championship in 1957
Indobit-A-NYT1984_501-1000-74.txt, who blocked an attempt by the Reagan Administration to require family-planning clinics to notify parents when minors received prescription contraceptives
Indobit-A-NYT1981 - July 1 - Sep 30-325.txt, who was forced to retire from the California Supreme Court four years ago
Indobit-A-NYT1984_1001-1500-435.txt, a nephew of Lenin
Indobit-A-NYT1984_501-1000-82.txt, who as a 17- year-old Boy Scout helped catch two Nazi spies who had landed on the Maine coast in World War II
Indobit-A-NYT1986_1001-1500-258.txt," whose twangy crooning style, aided by a handheld megaphone, made him a singing idol of the 1930's and 40's"
Indobit-A-NYT1984_1-500-136.txt, whose investigations of plant fossils gradually pushed back estimates of the origin of life to more than 3.4 billion years ago
Indobit-A-NYT1982_501-1000-141.txt, a pioneer in the development of techniques for psychiatric treatment
Indobit-A-NYT1980_501-904-111.txt, headmaster of the Kent (Conn.) School since 1962
Indobit-A-NYT1981 - April 1 - June 30-127.txt, a specialist in the rehabilitation of the disabled
Indobit-A-NYT1982_1501-1630-110.txt, a former textile manufacturer in Manhattan
Indobit-A-NYT1981 - Jan 1 - March 31-326.txt,
Indobit-A-NYT1984_1001-1500-108.txt, an authority on printing and typography
Indobit-A-NYT1985 - Jan 1 - March 31-222.txt, an active figure in New York's motion picture industry for more than 50 years
Indobit-A-NYT1980_501-904-20.txt, one of the stalwarts of the Italian Communist Party
